,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.24,0.38,0.41,0.52,0.93,0.4,0.13,0.43,0.35,0.58,0.49,0.45
fityk.csv,0.45,0.32,0.63,0.61,0.21,0.31,0.25,0.0,0.97,0.82,0.53,0.5
hatari.csv,0.94,0.38,0.65,0.57,0.64,0.51,0.63,0.41,0.38,0.68,0.35,0.58
lmms.csv,0.62,0.55,0.19,0.98,0.56,0.32,0.37,0.59,0.32,0.62,0.23,0.35
mecat.csv,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02
nullc.csv,0.3,0.98,0.41,0.51,0.09,0.56,0.44,0.45,0.0,0.73,0.17,0.56
oscarmcmaster.csv,0.35,0.22,0.57,0.17,0.17,0.17,0.26,0.47,0.02,0.38,0.45,0.97
superwaba.csv,0.55,0.61,0.98,0.52,0.57,0.45,0.48,0.59,0.53,0.62,0.75,0.58
tycho.csv,0.55,0.39,0.66,0.56,0.56,0.44,0.57,0.99,0.71,0.61,0.62,0.5
vienna-add-in.csv,0.0,0.0,0.71,0.27,0.0,0.98,0.0,0.37,0.32,0.21,0.57,0.61
voms.csv,0.27,0.15,0.3,0.11,0.06,0.09,0.91,0.24,0.02,0.0,0.24,0.18
wsmt.csv,0.24,0.32,0.39,0.16,0.21,0.34,0.13,0.24,0.0,0.0,0.93,0.25
