,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.66,0.32,0.58,0.27
ngl.csv,0.56,0.63,0.34,0.52
qmmp.csv,0.41,0.39,0.34,0.19
quarkplusplus.csv,0.34,0.44,0.31,0.18
