,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.52,0.47,0.5,0.51,0.4,0.33,0.6,0.5,0.42,0.49,0.51,0.98,0.18,0.61,0.45
firebird.csv,0.47,0.34,0.4,0.97,0.53,0.4,0.42,0.4,0.35,0.64,0.55,0.26,0.21,0.53,0.55
flylegacy.csv,0.69,0.04,1.0,0.63,0.48,0.45,0.28,0.19,0.49,0.29,0.54,0.34,0.42,0.58,0.17
gzigzag.csv,0.1,0.3,0.31,0.38,0.29,0.22,0.82,0.31,0.15,0.29,0.26,0.17,0.15,0.54,0.5
hydrogen.csv,0.38,0.52,0.31,0.4,0.15,0.17,0.25,0.38,0.95,0.25,0.29,0.07,0.18,0.24,0.49
mcore3d.csv,0.36,0.64,0.59,0.6,0.98,0.61,0.57,0.66,0.67,0.59,0.61,0.37,0.44,0.64,0.66
nabu-library.csv,0.78,0.62,0.47,0.48,0.57,0.56,0.5,0.32,0.57,0.33,0.56,0.71,0.99,0.56,0.56
ogrehg.csv,0.2,0.39,0.56,0.44,0.37,0.54,0.55,0.47,0.48,0.63,0.96,0.35,0.18,0.61,0.49
qgo.csv,0.54,1.0,0.67,0.58,0.57,0.43,0.55,0.6,0.66,0.57,0.45,0.22,0.31,0.52,0.79
qtractor.csv,0.46,0.67,0.56,0.56,0.47,0.45,0.5,0.59,0.73,0.99,0.56,0.55,0.32,0.71,0.84
rhex.csv,0.93,0.45,0.37,0.43,0.11,0.16,0.51,0.41,0.23,0.36,0.18,0.04,0.1,0.35,0.37
rocrail.csv,0.0,0.32,0.1,0.26,0.06,0.06,0.12,0.21,0.29,0.22,0.17,0.0,0.09,0.24,0.96
webdriver.csv,0.38,0.62,0.2,0.36,0.37,0.35,0.28,1.0,0.42,0.37,0.34,0.1,0.27,0.42,0.63
xined.csv,0.0,0.39,0.17,0.07,0.1,0.17,0.28,0.45,0.36,0.29,0.24,0.13,0.37,1.0,0.11
yield.csv,0.58,0.73,0.6,0.61,0.52,0.93,0.57,0.65,0.68,0.64,0.65,0.51,0.65,0.58,0.79
