,knowledge.csv,pentahoanalysistool.csv,betoffice.csv,ifmo-game-1.csv,voms.csv,sumatrapdf.csv,projecteqemu.csv
betoffice.csv,0.68,0.15,0.59,0.14,0.12,0.41,0.56
ifmo-game-1.csv,0.12,0.31,0.15,0.4,0.0,0.33,0.2
knowledge.csv,0.92,0.46,0.64,0.16,0.27,0.58,0.63
pentahoanalysistool.csv,0.45,0.65,0.21,0.07,0.2,0.33,0.28
projecteqemu.csv,0.86,0.42,0.12,0.24,0.0,0.62,0.74
sumatrapdf.csv,0.94,0.49,0.65,0.15,0.12,0.66,0.65
voms.csv,0.89,0.52,0.14,0.2,0.59,0.72,0.68
