,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.66,0.33,0.62,0.29
img-browse-sort.csv,0.69,0.7,0.45,0.67
pcsx2.csv,0.67,0.78,0.5,0.45
xstore.csv,0.69,0.73,0.47,0.43
