,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.77,0.9,0.22,0.55,0.93,0.41,0.7,0.49,0.29,0.92,0.6,0.92,0.15,0.7,0.34,0.08,0.35,0.71
betoffice.csv,0.81,0.79,0.2,0.34,0.81,0.28,0.61,0.55,0.16,0.92,0.49,0.92,0.1,0.53,0.34,0.12,0.28,0.68
bionote.csv,0.75,0.96,0.62,0.36,1.0,0.0,0.75,0.39,0.41,1.0,0.75,0.9,0.38,0.52,0.46,0.05,0.48,0.61
bnetd.csv,0.78,0.82,0.22,0.38,0.82,0.4,0.58,0.5,0.31,0.92,0.79,0.92,0.16,0.8,0.33,0.08,0.28,0.68
elvishrayrenderer.csv,0.82,0.8,0.0,0.41,0.94,0.54,0.62,0.5,0.33,0.92,0.88,0.88,0.25,0.62,0.3,0.11,0.58,0.81
emisview.csv,0.71,0.0,0.5,0.56,0.96,0.52,0.86,0.55,0.47,1.0,0.67,0.89,0.22,0.61,0.43,0.15,0.48,1.0
findbugs.csv,0.75,0.86,0.22,0.36,0.88,0.32,0.77,0.48,0.59,0.88,0.53,0.92,0.15,0.63,0.55,0.19,0.35,0.69
hazelcast.csv,0.77,0.88,0.43,0.36,1.0,0.32,0.65,0.51,0.28,0.93,0.65,0.94,0.16,0.61,0.37,0.1,0.41,0.69
jitterbit.csv,0.76,0.88,0.29,0.44,0.88,0.32,0.7,0.18,0.54,0.94,0.52,0.94,0.14,0.61,0.49,0.03,0.33,0.77
jppf-project.csv,0.79,0.79,0.21,0.62,0.94,0.23,0.64,0.49,0.2,0.86,0.45,0.99,0.16,0.63,0.41,0.06,0.39,0.58
kolmafia.csv,0.8,0.85,0.22,0.38,0.97,0.31,0.64,0.49,0.34,0.92,0.62,0.94,0.16,0.78,0.37,0.1,0.37,0.7
megasquirtavr.csv,0.77,0.82,0.5,0.32,0.84,0.3,0.67,0.49,0.36,0.91,0.53,0.93,0.12,0.52,0.39,0.07,0.31,0.63
qedo.csv,0.9,0.55,0.07,0.24,0.89,0.25,0.41,0.54,0.2,0.9,0.48,0.95,0.06,0.45,0.22,0.25,0.12,0.55
stajistics.csv,0.78,0.83,0.67,0.33,0.98,0.45,0.64,0.41,0.24,0.91,0.46,0.91,0.19,0.63,0.4,0.12,0.47,0.64
trackit.csv,0.79,0.7,0.45,0.41,1.0,0.25,0.72,0.33,0.41,0.91,0.41,0.91,0.2,0.56,0.44,0.01,0.24,0.57
wxlua.csv,0.79,0.79,0.18,0.3,0.65,0.27,0.59,0.0,0.31,0.94,0.51,0.85,0.13,0.47,0.56,0.1,0.29,0.62
x4x.csv,0.89,0.78,0.27,0.36,0.84,0.32,0.62,0.48,0.28,0.94,0.64,0.91,0.11,0.54,0.35,0.08,0.33,0.7
xharbour.csv,0.76,0.99,0.25,0.38,0.84,0.31,0.68,0.46,0.3,0.93,0.51,0.89,0.18,0.65,0.41,0.05,0.3,0.62
