,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,1.0,0.48,1.0,0.5,0.37,0.52,0.67,0.98,0.91,0.78,0.65,0.79,0.72,0.63,0.81,0.97,0.65,0.63
betoffice.csv,0.63,0.93,0.75,0.89,1.02,0.87,0.97,0.64,0.9,0.88,0.88,0.89,0.93,0.95,0.92,0.63,0.87,0.71
bionote.csv,0.77,0.73,0.75,0.83,0.67,1.0,0.86,0.85,0.81,0.76,0.92,0.8,0.32,0.74,0.67,0.89,0.58,0.78
bnetd.csv,0.92,1.0,0.91,0.7,0.79,0.63,0.81,1.0,0.69,0.69,0.39,1.0,0.72,0.36,0.87,0.95,0.92,0.79
elvishrayrenderer.csv,0.66,0.82,1.0,0.6,0.43,0.43,0.89,0.98,0.84,0.78,0.64,0.9,0.43,0.6,0.87,0.72,0.42,0.47
emisview.csv,0.83,1.0,0.95,0.61,0.61,0.44,0.85,0.87,0.57,0.99,0.76,0.85,0.57,0.62,0.73,0.91,0.63,0.94
findbugs.csv,0.88,0.74,0.7,0.69,0.59,0.68,0.77,0.77,0.42,0.87,0.89,0.79,0.66,0.63,0.5,0.58,0.7,0.68
hazelcast.csv,0.85,0.54,0.46,0.69,0.05,0.89,0.71,0.7,0.83,0.63,0.55,0.66,0.72,0.7,0.78,0.66,0.55,0.65
jitterbit.csv,1.0,0.63,0.61,0.53,0.62,0.69,0.71,0.98,0.39,0.83,0.92,0.71,0.84,0.64,0.55,0.97,0.69,0.53
jppf-project.csv,0.7,0.9,0.85,0.78,0.45,0.84,0.72,0.83,0.91,0.95,0.83,0.28,0.62,0.59,0.66,0.84,0.59,0.86
kolmafia.csv,0.83,0.79,0.99,0.76,0.39,0.91,0.74,1.0,0.6,0.71,0.66,0.65,0.83,0.36,0.96,0.7,0.61,0.73
megasquirtavr.csv,1.0,1.0,0.7,0.85,1.0,1.0,0.83,0.82,0.56,0.89,1.0,0.76,1.01,0.87,0.98,0.98,0.87,0.83
qedo.csv,0.79,1.12,0.97,0.84,0.86,0.86,0.94,0.74,0.85,0.85,0.78,0.63,0.95,0.83,0.91,0.29,0.95,0.87
stajistics.csv,0.75,0.9,0.9,0.75,0.27,0.47,0.74,0.82,0.79,1.01,0.81,1.01,0.54,0.67,0.76,0.59,0.47,0.9
trackit.csv,0.72,0.94,0.75,0.61,0.73,0.89,0.57,0.92,0.8,0.72,0.89,0.75,0.88,0.83,0.86,1.12,0.85,0.83
wxlua.csv,0.78,0.94,0.88,0.9,1.0,0.85,0.78,1.0,0.66,0.63,0.97,0.93,0.72,0.82,0.7,0.73,0.83,0.82
x4x.csv,0.38,1.02,0.6,0.72,0.83,0.85,0.83,0.86,0.74,0.7,0.52,0.9,0.86,0.93,0.79,0.96,0.66,0.63
xharbour.csv,1.0,0.22,0.8,0.7,0.83,0.83,0.83,0.79,0.77,0.67,0.93,0.85,0.65,0.54,0.85,1.03,0.89,0.87
