,net-snmp.csv,flylinkdc.csv,xbrlapi.csv,agilitybook.csv,vdsf.csv,n2cms.csv,jcae.csv,fw4spl.csv,ossbuild.csv,mimosa.csv,grisbi.csv,alpine.csv,tcvp.csv,yarp.csv,nabu-library.csv,virtuoso.csv,enzo.csv,jcl.csv,quickfast.csv,libarchive.csv
agilitybook.csv,1.0,0.52,0.72,0.48,0.99,0.74,0.75,0.66,0.56,0.94,0.83,0.52,0.89,0.97,0.84,0.67,0.91,0.63,0.86,0.91
alpine.csv,0.64,0.73,0.75,0.49,1.0,0.69,0.53,0.61,1.0,1.0,0.73,0.33,0.82,1.0,0.97,0.96,0.91,0.46,1.0,1.0
enzo.csv,0.88,0.5,0.72,0.88,1.0,0.82,0.86,0.98,1.0,0.44,0.44,0.9,0.92,0.75,0.37,0.66,0.32,1.0,0.69,0.68
flylinkdc.csv,0.66,0.38,0.73,0.71,0.97,0.8,0.61,0.72,0.94,0.65,0.39,0.52,0.81,0.55,1.0,0.85,0.66,0.74,0.66,0.49
fw4spl.csv,0.75,0.71,0.74,0.67,0.7,0.7,0.69,0.52,0.94,0.96,0.64,0.76,0.78,0.83,0.71,0.74,0.4,0.51,0.64,0.55
grisbi.csv,0.76,0.69,0.89,0.91,1.0,0.8,0.92,0.98,0.9,0.96,0.15,0.61,0.86,0.97,0.98,0.81,0.96,1.0,0.88,0.57
jcae.csv,1.0,0.55,0.68,0.77,0.86,0.75,0.23,0.59,1.0,0.68,0.64,0.75,0.91,0.77,1.08,0.62,0.98,0.65,0.69,0.98
jcl.csv,0.55,0.77,0.57,0.67,0.9,0.58,0.68,0.67,0.77,0.79,0.79,0.77,0.61,0.82,0.55,0.91,0.8,0.5,0.78,0.61
libarchive.csv,0.71,0.75,0.86,0.64,0.64,0.86,0.94,0.99,0.94,0.88,0.58,0.61,0.91,1.0,0.99,0.67,0.46,1.0,0.94,0.38
mimosa.csv,0.96,0.54,0.67,0.74,1.0,0.91,0.51,0.83,0.83,0.32,0.72,0.7,0.99,0.68,0.42,0.51,0.54,0.53,0.96,0.86
n2cms.csv,0.64,0.56,0.73,0.62,0.61,0.4,0.62,0.92,0.85,0.78,0.31,0.83,0.8,0.81,0.75,0.87,0.58,0.88,0.43,0.89
nabu-library.csv,0.98,0.77,0.85,0.56,0.81,0.75,0.81,0.72,0.65,0.98,1.0,0.85,1.0,0.89,0.29,0.64,0.93,0.62,0.86,0.95
net-snmp.csv,0.51,0.79,0.86,0.62,0.99,0.77,0.77,0.68,0.96,0.87,0.48,0.75,0.95,0.72,0.94,0.67,0.7,0.79,0.65,0.5
ossbuild.csv,0.63,0.57,0.78,0.63,0.78,0.66,0.45,0.75,0.36,0.57,0.85,0.56,0.82,0.53,0.88,0.58,0.83,0.31,0.72,0.68
quickfast.csv,1.0,0.54,0.64,0.82,0.99,0.68,0.89,0.75,0.92,0.55,0.25,0.76,0.5,0.62,0.5,0.55,1.0,1.0,0.31,0.87
tcvp.csv,0.98,1.0,0.95,1.0,1.0,0.94,1.0,0.92,1.0,1.0,0.98,1.0,0.36,0.96,0.55,0.98,0.97,1.0,0.89,1.0
vdsf.csv,0.95,0.86,0.73,0.91,0.67,0.73,1.02,0.9,0.85,0.96,1.0,0.99,0.64,0.84,0.93,0.96,0.96,0.86,0.99,0.99
virtuoso.csv,1.0,0.94,0.82,1.0,0.69,0.91,0.97,0.94,0.85,1.02,1.0,0.99,1.0,0.73,0.99,0.52,1.0,0.95,0.56,0.59
xbrlapi.csv,0.95,0.84,0.46,0.92,1.0,0.69,0.82,0.72,1.0,0.52,0.55,0.75,1.0,0.92,1.07,1.0,0.91,0.91,0.85,1.0
yarp.csv,0.6,0.5,0.86,0.62,0.71,0.7,0.82,0.7,1.0,0.86,0.86,0.72,0.91,0.53,0.83,1.0,0.49,0.81,0.69,1.0
