,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.97,0.38,0.81,0.32,0.11,0.13,0.27,0.75,0.64,0.99,0.78
azureus.csv,1.0,0.39,0.45,0.35,0.08,0.19,0.6,0.76,0.27,0.97,0.68
forester-atv.csv,0.98,0.68,0.6,0.56,0.17,0.21,0.27,0.72,0.7,0.95,0.87
gabel.csv,1.0,0.46,0.92,0.27,0.24,0.29,0.44,0.74,0.0,0.97,0.83
google-collections.csv,1.0,0.38,0.47,0.35,0.08,0.19,0.27,0.73,0.27,0.96,0.68
javaprofiler.csv,0.98,0.4,0.58,0.34,0.09,0.17,0.27,0.74,0.48,0.98,0.86
mycila.csv,0.97,0.42,0.45,0.28,0.09,0.58,0.35,0.71,0.17,0.96,0.68
neodatis-odb.csv,0.97,0.38,0.52,0.56,0.05,0.44,0.35,0.73,0.17,0.98,0.77
pokenetonline.csv,1.0,0.41,0.47,0.37,0.08,0.19,0.27,0.9,0.37,0.98,0.64
rcp-company-uibindings.csv,1.0,0.44,0.56,0.28,0.09,0.18,0.34,0.86,0.32,1.0,0.69
servicestack.csv,1.0,0.64,0.86,0.39,0.0,0.14,0.39,1.0,0.57,1.0,1.0
