,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.91,0.8,0.94,0.97,0.91,1.0,0.81,0.0,1.0,0.83,1.0,0.94,0.9
fido.csv,0.11,0.55,0.03,0.0,0.03,1.0,0.47,0.06,0.0,0.2,0.0,0.24,0.9
fleet-simulator.csv,0.87,0.84,0.86,1.0,0.36,1.0,0.72,0.95,1.0,0.96,0.6,0.59,0.9
fluent-nhibernate.csv,0.13,0.25,0.66,0.56,0.34,0.75,0.56,0.61,0.67,0.02,0.2,0.94,0.36
galaxium.csv,0.89,0.73,0.69,0.74,0.67,0.25,0.56,0.72,1.0,0.76,0.6,0.88,0.69
itext.csv,0.76,0.95,0.89,0.74,0.96,1.0,1.0,0.82,1.0,0.85,1.0,1.0,0.98
mecat.csv,0.22,0.07,0.0,0.06,0.38,0.0,0.05,0.08,1.0,0.0,0.0,0.24,0.0
mediaportal.csv,0.41,0.13,0.34,0.18,0.6,0.0,0.16,0.59,0.67,0.33,0.2,0.65,0.28
ninject.csv,0.63,0.56,0.74,0.71,0.79,0.5,0.51,0.54,0.0,0.31,1.0,0.47,0.42
smartgwt.csv,0.37,0.49,0.43,0.15,0.76,1.0,0.75,0.34,0.0,0.04,1.0,1.0,0.54
sqlpower-library.csv,0.7,0.69,0.94,0.88,0.42,1.0,0.82,0.98,1.0,0.72,0.6,0.88,0.42
stuproa-cims.csv,0.43,0.6,0.17,0.18,0.57,0.0,0.02,0.38,0.33,0.0,0.6,0.71,0.8
uface.csv,0.57,0.65,0.86,0.82,0.99,1.0,0.86,0.94,1.0,0.43,1.0,0.94,0.94
