,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.82,0.75,0.89,1.0,0.96,0.59,0.44,0.0,0.92,1.0,0.91,0.68,0.89
fido.csv,0.06,0.77,0.03,0.0,0.0,0.12,0.5,0.05,0.27,0.0,0.0,0.05,0.61
fleet-simulator.csv,0.71,0.81,0.6,0.87,0.06,0.88,0.67,0.84,0.93,0.0,0.62,0.29,0.46
fluent-nhibernate.csv,0.0,0.27,0.31,0.2,0.02,0.3,0.33,0.37,0.3,0.0,0.13,0.2,0.19
galaxium.csv,0.65,0.65,0.14,0.37,0.1,0.2,0.39,0.58,0.9,0.12,0.44,0.56,0.59
itext.csv,0.41,0.84,0.71,0.2,0.52,0.75,0.89,0.68,0.9,0.38,0.69,0.79,0.74
mecat.csv,0.06,0.01,0.0,0.0,0.02,0.0,0.0,0.02,0.1,0.0,0.07,0.06,0.02
mediaportal.csv,0.12,0.01,0.07,0.03,0.28,0.0,0.0,0.26,0.12,0.0,0.07,0.22,0.02
ninject.csv,0.82,0.55,0.74,0.3,0.37,0.28,0.28,0.49,0.33,1.0,0.16,0.43,0.31
smartgwt.csv,0.24,0.62,0.46,0.1,0.25,0.79,0.61,0.29,0.18,0.88,0.78,0.86,0.17
sqlpower-library.csv,0.24,0.87,0.9,0.83,0.87,0.54,0.89,0.96,0.68,1.0,0.71,0.63,0.39
stuproa-cims.csv,0.41,0.18,0.03,0.03,0.05,0.01,0.0,0.19,0.13,0.0,0.67,0.19,0.5
uface.csv,0.35,0.61,0.69,0.6,0.62,0.84,0.78,0.81,0.68,0.0,0.69,0.75,0.04
