,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.35,0.46,0.47,0.2,0.83,0.71,0.11,0.9,0.25,0.6,1.0,0.65
blue-c.csv,0.68,0.4,0.59,0.17,0.7,0.56,0.17,1.0,0.17,0.51,0.56,0.64
cities3d.csv,0.49,0.37,0.5,0.62,0.44,1.0,1.0,1.0,0.28,0.47,0.38,0.47
dynalloy.csv,0.54,1.0,0.52,0.11,0.53,0.68,0.12,0.43,0.15,0.38,0.57,0.49
firebird.csv,0.76,0.38,0.99,0.15,0.67,0.67,0.11,0.91,0.22,0.55,0.4,0.61
hydrogen.csv,0.87,0.35,0.73,0.3,1.0,0.9,0.22,1.0,1.0,0.33,0.54,0.86
nosleepsoftware.csv,0.72,0.0,0.67,1.0,0.5,0.47,0.18,0.2,0.57,0.44,0.29,0.69
openmalaria.csv,0.63,0.42,0.61,0.33,0.71,0.76,0.1,0.78,0.27,1.0,0.33,0.65
popeye-chess.csv,0.59,0.4,0.61,0.41,0.73,1.0,0.13,0.64,0.19,0.68,0.38,0.66
qgo.csv,0.97,0.42,0.67,0.27,0.95,0.86,0.11,0.83,0.33,0.56,0.45,0.79
xmoto.csv,0.56,0.33,0.61,0.3,0.63,0.45,0.15,0.51,0.23,0.58,0.38,0.97
yield.csv,0.57,0.41,0.57,0.29,0.98,0.54,0.08,0.69,0.24,0.58,0.45,0.52
