,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.36,0.55,0.42,0.1,0.44,0.41,0.16,0.72,0.25,0.39,0.98,0.51
blue-c.csv,0.62,0.49,0.57,0.18,0.68,0.67,0.28,1.0,0.28,0.52,0.63,0.61
cities3d.csv,0.59,0.51,0.49,0.42,0.54,0.33,0.94,0.06,0.4,0.56,0.48,0.6
dynalloy.csv,0.5,0.98,0.49,0.14,0.58,0.64,0.2,0.43,0.23,0.39,0.65,0.52
firebird.csv,0.63,0.39,0.99,0.17,0.64,0.5,0.16,0.49,0.31,0.52,0.47,0.47
hydrogen.csv,0.58,0.17,0.46,0.23,0.25,0.4,0.32,0.33,0.97,0.04,0.41,0.48
nosleepsoftware.csv,0.54,0.0,0.51,1.0,0.09,0.28,0.22,0.13,0.35,0.16,0.26,0.42
openmalaria.csv,0.73,0.49,0.61,0.43,0.56,0.69,0.18,0.58,0.4,0.99,0.42,0.6
popeye-chess.csv,0.56,0.35,0.52,0.42,0.58,0.97,0.22,0.54,0.29,0.58,0.43,0.62
qgo.csv,0.98,0.4,0.51,0.22,0.44,0.49,0.19,0.28,0.35,0.43,0.44,0.55
xmoto.csv,0.66,0.41,0.61,0.41,0.53,0.57,0.26,0.55,0.36,0.51,0.49,0.94
yield.csv,0.7,0.52,0.6,0.41,0.99,0.62,0.15,0.71,0.36,0.67,0.62,0.61
