,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.37,0.69,0.39,0.06,0.3,0.29,0.32,0.6,0.25,0.29,0.95,0.42
blue-c.csv,0.57,0.63,0.56,0.19,0.67,0.86,0.81,1.0,0.88,0.52,0.71,0.58
cities3d.csv,0.73,0.87,0.48,0.31,0.7,0.2,0.89,0.03,0.69,0.69,0.67,0.83
dynalloy.csv,0.47,0.96,0.47,0.19,0.65,0.6,0.7,0.43,0.56,0.4,0.76,0.56
firebird.csv,0.53,0.4,0.98,0.19,0.62,0.4,0.38,0.33,0.5,0.5,0.57,0.39
hydrogen.csv,0.43,0.12,0.33,0.19,0.14,0.26,0.59,0.2,0.94,0.02,0.33,0.33
nosleepsoftware.csv,0.43,0.0,0.42,1.0,0.05,0.2,0.3,0.1,0.25,0.1,0.24,0.31
openmalaria.csv,0.87,0.6,0.62,0.62,0.46,0.63,0.73,0.47,0.75,0.98,0.57,0.56
popeye-chess.csv,0.53,0.31,0.46,0.44,0.48,0.94,0.59,0.47,0.56,0.5,0.48,0.58
qgo.csv,1.0,0.38,0.41,0.19,0.29,0.34,0.62,0.17,0.38,0.36,0.43,0.42
xmoto.csv,0.8,0.56,0.62,0.62,0.46,0.77,0.78,0.6,0.81,0.45,0.71,0.92
yield.csv,0.9,0.71,0.63,0.75,1.0,0.71,0.76,0.73,0.75,0.81,1.0,0.75
