,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.27,0.04,0.02,0.03,0.08,0.02
fluent-nhibernate.csv,0.07,0.06,0.46,0.18,0.0,0.19
h2database.csv,0.21,0.25,0.06,0.26,0.08,0.18
jaql.csv,0.64,0.5,0.17,0.25,0.08,0.11
raven-monitoring.csv,0.32,0.51,0.31,0.27,0.0,0.42
v8.csv,0.28,0.35,0.94,0.82,0.15,0.53
