,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.31,0.39,0.8,0.18,0.28,0.15,0.6,0.48,0.5,0.25,0.85,0.86,0.53,0.44,0.64,0.61
customsagetv.csv,0.67,0.62,0.0,0.5,0.32,0.1,0.61,0.0,0.27,0.34,0.91,1.0,0.65,0.5,0.62,0.9
fluidium.csv,1.0,0.8,0.0,0.17,0.0,0.21,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.57,0.5,0.6
guineu.csv,0.47,0.41,1.0,0.17,0.25,0.14,0.7,0.4,0.23,0.22,0.86,0.87,0.57,0.42,0.59,0.84
inkscape.csv,0.34,0.45,0.79,0.18,0.21,0.15,0.74,0.4,0.18,0.28,0.83,0.76,0.51,0.42,0.65,0.57
mpqc.csv,0.25,0.25,0.0,0.0,0.08,0.31,0.59,0.39,0.1,0.16,0.94,0.69,0.22,0.35,0.6,0.6
nsis.csv,0.26,0.32,0.85,0.13,0.12,0.17,0.52,0.31,0.18,0.24,1.0,0.83,0.49,0.21,0.61,0.68
octave.csv,0.38,0.43,1.0,0.18,0.31,0.15,1.0,0.35,0.08,0.26,0.86,0.94,0.29,0.43,0.71,0.21
owfs.csv,0.31,0.42,0.91,0.27,0.22,0.08,0.68,0.47,0.31,0.28,0.92,0.83,0.61,0.41,0.65,0.5
owlib.csv,0.36,0.6,1.0,0.22,0.25,0.09,0.62,0.56,0.38,0.32,0.93,0.88,0.66,0.6,0.75,0.55
pamguard.csv,0.32,0.42,0.88,0.26,0.28,0.15,0.63,0.48,0.29,0.28,0.9,0.87,0.51,0.67,0.73,0.21
prelude.csv,0.3,0.4,0.94,0.19,0.18,0.13,0.59,0.47,0.21,0.28,0.88,0.85,0.51,0.47,0.63,0.59
robocode.csv,0.41,0.52,0.0,0.33,0.23,0.12,0.72,0.65,0.23,0.38,0.91,0.81,0.51,0.46,0.66,0.58
uwom-server.csv,0.33,0.41,1.0,0.12,0.26,0.13,0.69,0.47,0.27,0.36,0.92,0.87,0.42,0.42,0.6,0.77
zengine.csv,0.31,0.39,0.87,0.15,0.18,0.17,0.58,0.45,0.19,0.25,0.92,1.0,0.52,0.26,0.64,0.57
zildo.csv,0.43,0.44,0.96,0.17,0.27,0.12,0.63,0.73,0.33,0.29,0.86,0.91,0.75,0.43,0.65,0.79
