,sabbu.csv,vxl.csv,kdenlive.csv,zact.csv,optalgtoolkit.csv,tokratan.csv,boost-sandbox.csv,foursquared.csv,jasperreports.csv
boost-sandbox.csv,0.78,0.3,0.71,0.0,0.45,0.15,0.99,0.33,0.11
foursquared.csv,0.89,0.5,0.81,0.29,1.0,0.31,0.86,1.0,0.06
jasperreports.csv,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.71,0.96
kdenlive.csv,0.6,0.25,1.0,0.05,0.47,0.22,0.75,0.43,0.06
optalgtoolkit.csv,0.51,0.3,0.62,0.08,1.0,0.13,0.78,0.33,0.06
sabbu.csv,1.0,0.25,0.78,0.08,0.25,0.17,0.76,0.41,0.08
tokratan.csv,0.74,0.12,0.71,0.12,0.4,1.0,1.0,0.67,0.09
vxl.csv,0.32,1.0,0.53,0.07,0.2,0.13,0.68,0.18,0.05
zact.csv,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0
