,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.83,0.87,0.8,0.7,0.68
freenet.csv,0.87,0.76,0.54,0.96,0.93
mediaportal.csv,0.28,0.25,0.15,0.33,0.57
onotoa.csv,0.87,0.51,0.73,0.67,0.44
sqlpower-library.csv,0.67,0.94,0.58,1.0,1.0
