,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.53,0.43,0.58,0.4,0.44,0.61,0.52,0.48,0.5,0.55,0.59,0.57,0.69,0.47,0.45
amateur-scrolls.csv,0.58,0.0,0.77,0.39,0.53,0.97,0.95,0.47,0.64,0.85,0.67,0.0,0.94,0.37,0.75
biopax.csv,0.46,0.42,0.35,0.41,0.38,0.45,0.39,0.45,0.4,0.38,0.38,0.48,0.54,0.44,0.42
crux-framework.csv,0.97,0.64,0.88,0.75,0.5,0.94,0.94,0.8,0.0,0.88,0.93,0.0,0.86,0.86,0.82
exl.csv,0.48,0.48,0.45,0.41,0.39,0.51,0.48,0.42,0.51,0.55,0.41,0.5,0.66,0.39,0.45
ikvm.csv,0.7,0.58,0.64,0.74,0.64,0.54,0.52,0.79,0.45,0.83,0.74,0.94,0.58,0.95,0.73
irrlicht.csv,0.47,0.37,0.35,0.39,0.38,0.51,0.39,0.44,0.4,0.0,0.38,0.48,0.42,0.46,0.42
les-indemodables.csv,0.51,0.37,0.35,0.37,0.42,0.45,0.41,0.41,0.4,0.38,0.39,0.56,0.45,0.44,0.34
lportal.csv,0.92,0.83,0.93,0.0,0.8,0.91,0.0,0.86,0.75,0.75,0.92,0.57,0.86,0.64,0.8
ns-3-dev-def-routing.csv,0.6,0.46,0.46,0.68,0.44,0.61,0.54,0.52,0.54,0.45,0.58,0.52,0.68,0.42,0.45
qpe.csv,0.56,0.64,0.55,0.91,0.57,0.47,0.45,0.51,0.86,0.58,0.6,0.93,0.62,0.47,0.38
sigil.csv,0.51,0.47,0.42,0.36,0.35,0.54,0.45,0.43,0.54,0.44,0.44,0.48,0.63,0.44,0.43
ultimairis.csv,0.91,0.41,0.35,0.57,0.9,0.46,0.74,0.8,0.39,0.38,0.54,0.0,0.66,0.45,0.49
unflobtactical.csv,0.52,0.45,0.47,0.39,0.4,0.54,0.46,0.48,0.49,0.46,0.46,0.49,0.5,0.45,0.45
xbg.csv,0.92,0.92,0.8,0.92,0.8,0.88,0.97,0.97,0.68,1.0,0.89,0.97,0.93,0.91,0.67
