,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.53,0.47,0.27,0.74,0.31,0.45,0.56,0.57,0.51,0.36,0.46,0.55,0.25,0.54,0.89
amateur-scrolls.csv,0.23,0.03,0.23,0.33,0.12,0.08,0.06,0.11,0.44,0.27,0.21,0.0,0.1,0.08,0.47
biopax.csv,0.99,0.63,1.0,0.85,0.81,0.94,0.86,0.84,0.98,1.0,1.0,0.95,0.1,0.85,1.0
crux-framework.csv,0.06,0.07,0.19,0.07,0.0,0.04,0.09,0.0,0.02,0.17,0.19,0.02,0.15,0.0,0.13
exl.csv,0.51,0.33,0.67,0.46,0.46,0.27,0.41,0.35,0.71,0.67,0.5,0.29,0.75,0.08,0.92
ikvm.csv,0.63,0.13,0.43,0.59,0.62,0.8,0.71,0.78,0.75,0.33,0.54,0.6,0.55,0.85,0.46
irrlicht.csv,1.0,1.0,1.0,1.0,1.0,0.53,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
les-indemodables.csv,0.72,0.8,0.77,0.48,0.42,0.51,0.6,0.3,0.75,0.98,0.6,0.26,0.5,0.23,0.77
lportal.csv,0.02,0.07,0.1,0.0,0.0,0.06,0.0,0.0,0.05,0.18,0.06,0.32,0.0,0.15,0.04
ns-3-dev-def-routing.csv,0.48,0.47,0.62,0.24,0.19,0.43,0.56,0.32,0.56,0.61,0.34,0.77,0.3,0.31,0.7
qpe.csv,0.28,0.1,0.32,0.15,0.27,0.37,0.62,0.49,0.09,0.27,0.51,0.15,0.25,0.0,0.46
sigil.csv,0.32,0.6,0.57,0.76,0.19,0.35,0.5,0.24,0.35,0.62,0.52,0.43,0.1,0.46,0.9
ultimairis.csv,0.2,0.87,0.97,0.24,0.12,0.65,0.15,0.03,0.93,1.0,0.46,0.0,0.15,0.62,0.66
unflobtactical.csv,0.31,0.6,0.57,0.8,0.27,0.39,0.64,0.11,0.62,0.66,0.42,0.92,0.25,0.69,0.85
xbg.csv,0.49,0.23,0.04,0.22,0.46,0.57,0.16,0.59,0.27,0.13,0.05,0.43,0.2,0.46,0.03
