,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.73,0.8,0.77,0.9,0.03,0.8,0.83,0.78,0.8,0.7,0.74,0.89,0.81,0.72
flylinkdc.csv,0.0,0.76,0.62,0.59,0.72,0.8,0.5,0.97,0.55,0.82,0.8,0.67,0.89,0.82
grisbi.csv,0.59,0.78,0.71,0.93,0.51,0.97,0.85,0.82,0.02,1.0,0.75,0.49,0.82,0.89
jaolt.csv,0.59,0.66,0.52,0.65,0.59,0.79,0.6,0.69,0.65,0.03,0.79,0.6,0.79,0.6
maidsafe-dht.csv,0.71,0.92,0.0,0.89,0.79,0.93,0.92,0.9,0.89,0.88,1.0,0.92,0.81,0.88
mimosa.csv,0.76,0.74,0.68,0.81,0.67,0.75,0.65,0.03,0.72,0.77,0.76,0.54,0.69,0.88
n2cms.csv,0.51,0.0,0.53,0.91,0.6,0.74,0.53,0.88,0.47,0.65,0.75,0.62,0.94,0.53
nassp.csv,0.58,0.7,0.58,0.66,0.76,0.7,0.17,0.7,0.82,0.62,1.0,0.91,0.84,0.81
nug.csv,0.72,0.77,0.8,0.06,0.76,0.78,0.78,0.88,1.13,0.81,1.02,0.93,0.97,0.94
quantlib.csv,0.6,0.76,0.8,0.85,0.78,0.89,0.82,0.9,0.85,0.85,1.0,0.77,0.08,1.06
red5.csv,0.68,0.74,0.82,0.71,0.79,0.02,0.93,0.76,1.0,0.57,0.84,0.77,0.91,0.48
super-tux.csv,0.99,0.73,1.0,1.0,1.0,0.77,1.0,0.47,1.0,0.81,1.0,0.0,0.99,0.79
tcvp.csv,0.74,0.8,0.82,0.88,0.83,0.83,0.68,0.99,0.77,0.87,0.11,0.89,0.76,0.8
zxing.csv,0.57,0.76,0.51,0.87,0.58,0.62,0.57,0.76,0.39,0.66,0.71,0.68,0.75,0.04
