,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.63,0.52,0.55,0.61,0.51,0.47,0.52,0.47,0.67,0.72,0.72,0.53,0.46
autofac.csv,0.47,0.44,0.52,0.51,0.4,0.43,0.49,0.5,0.72,0.55,0.44,0.61,0.43
coot.csv,0.39,0.85,0.9,0.58,0.52,0.71,0.8,0.62,0.68,0.58,0.53,0.66,0.56
dsworkbench.csv,0.69,0.42,0.67,0.86,0.77,0.81,0.82,0.89,0.75,0.94,0.89,0.91,0.72
emono.csv,0.67,0.55,0.44,0.54,0.53,0.96,0.53,0.57,0.5,0.53,0.67,0.53,0.47
exist.csv,0.91,0.85,0.7,0.88,0.8,0.6,0.45,0.86,0.86,0.91,0.61,0.62,0.9
freelords.csv,0.37,0.38,0.37,0.42,0.44,0.43,0.37,0.52,0.47,0.49,0.49,0.57,0.45
google-collections.csv,0.39,0.36,0.32,0.38,0.45,0.4,0.34,0.45,0.5,0.43,0.45,0.43,0.36
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
jpaul.csv,0.55,0.89,0.9,0.5,0.62,0.94,0.97,0.89,0.83,0.75,0.75,0.0,0.86
neodatis-odb.csv,0.53,0.5,0.5,0.75,0.65,0.78,0.65,0.69,0.82,0.73,0.49,0.62,0.81
octet.csv,0.55,0.73,0.89,0.63,0.79,0.67,0.53,0.86,0.47,0.95,0.89,0.97,0.31
thedata.csv,0.67,0.94,0.62,0.91,0.89,0.63,0.75,0.8,0.89,0.67,0.83,0.49,0.67
