,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.5,0.56,0.45,0.64,0.51,0.69,0.46,0.63,0.61,0.02,0.49,0.19,0.53
autofac.csv,0.0,0.25,0.03,0.36,0.32,0.6,0.21,0.37,0.53,0.39,0.51,0.14,0.44
coot.csv,0.5,0.06,0.12,0.25,0.34,0.44,0.27,0.22,0.56,0.2,0.0,0.24,0.48
dsworkbench.csv,0.0,0.0,0.39,0.07,0.22,0.21,0.15,0.14,0.06,0.18,0.16,0.36,0.35
emono.csv,0.5,0.62,0.61,0.29,0.71,0.21,0.47,0.69,0.67,0.71,0.41,0.02,0.68
exist.csv,0.5,0.12,0.33,0.21,0.07,0.29,0.02,0.14,0.11,0.14,0.14,0.19,0.15
freelords.csv,0.0,1.0,0.82,0.04,0.68,0.76,0.81,0.47,0.29,0.74,0.57,0.88,0.56
google-collections.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jpaul.csv,0.0,0.06,0.06,0.07,0.0,0.16,0.15,0.14,0.09,0.05,0.05,0.0,0.11
neodatis-odb.csv,1.0,0.56,0.64,0.25,0.51,0.01,0.4,0.55,0.58,0.52,0.76,0.55,0.31
octet.csv,1.0,0.12,0.03,0.43,0.24,0.3,0.29,0.0,0.26,0.26,0.19,0.36,0.76
thedata.csv,0.0,0.31,0.42,0.07,0.22,0.41,0.26,0.29,0.14,0.0,0.08,0.43,0.0
