,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.4,0.96,0.33,0.28,0.04,0.36,0.18,0.12,0.0,0.18,0.05,0.05,0.14
empserver.csv,0.68,0.23,0.67,0.26,0.96,0.97,0.95,0.69,0.36,0.3,0.9,0.57,0.82
emulemorph.csv,0.0,0.0,0.0,0.28,0.01,0.01,0.06,0.33,0.0,0.42,0.0,0.0,0.2
google-web-toolkit.csv,0.95,0.41,0.4,0.32,0.96,0.24,0.59,0.57,0.73,0.09,0.96,0.64,0.41
htmlunit.csv,0.6,0.93,0.32,0.38,0.15,0.25,0.23,0.46,0.36,0.52,0.23,0.38,0.37
jaxen.csv,0.7,0.32,0.7,0.77,0.32,0.47,0.11,0.85,0.89,0.94,0.77,0.9,0.68
jguard.csv,0.68,1.0,0.48,0.34,0.54,0.38,0.74,0.46,0.29,0.64,0.35,0.19,0.43
kowari.csv,0.3,0.03,0.3,0.19,0.07,0.48,0.27,0.53,0.7,0.36,0.21,0.38,0.56
maidsafe-dht.csv,0.28,0.56,0.15,0.27,0.19,0.47,0.37,0.53,0.61,0.64,0.76,0.55,0.31
mimosa.csv,0.6,0.99,0.7,0.78,0.82,0.84,0.76,0.8,0.39,0.91,0.36,0.21,0.8
vdsf.csv,0.7,0.13,0.85,0.76,0.95,0.99,0.89,0.76,0.96,1.0,0.97,0.93,0.76
xbrlapi.csv,0.42,0.0,0.17,0.11,0.72,0.45,0.32,0.46,0.68,0.0,0.63,0.26,0.34
