,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.33,0.08,0.13,0.51,0.0,0.24,0.17,0.0,1.0,0.5,0.0,0.33,0.57
empserver.csv,0.55,0.17,0.2,0.38,0.0,0.3,0.06,0.06,0.35,0.71,0.08,0.57,0.6
emulemorph.csv,1.0,0.0,0.0,0.03,0.0,0.33,0.0,0.11,0.0,0.33,0.0,0.0,0.58
google-web-toolkit.csv,0.49,0.07,0.25,0.29,0.0,0.42,0.06,0.08,0.33,0.77,0.07,0.54,0.7
htmlunit.csv,0.53,0.09,0.34,0.34,0.01,0.51,0.21,0.06,0.41,0.55,0.18,0.54,0.61
jaxen.csv,0.5,0.18,0.19,0.26,0.01,0.38,0.36,0.05,0.34,0.47,0.09,0.41,0.61
jguard.csv,0.5,0.09,0.17,0.41,0.0,0.43,0.06,0.08,0.54,0.54,0.16,0.73,0.61
kowari.csv,0.5,0.31,0.25,0.27,0.0,0.41,0.08,0.07,0.33,0.54,0.24,0.43,0.53
maidsafe-dht.csv,0.56,0.11,0.47,0.29,0.0,0.41,0.06,0.07,0.33,0.58,0.11,0.55,0.61
mimosa.csv,0.57,0.08,0.22,0.29,0.0,0.35,0.06,0.06,0.44,0.52,0.18,0.78,0.56
vdsf.csv,0.57,0.21,0.18,0.3,0.0,0.27,0.01,0.04,0.34,0.51,0.04,0.41,0.56
xbrlapi.csv,0.64,0.0,0.09,0.48,0.0,0.27,0.07,0.09,0.3,0.0,0.02,0.65,0.59
