,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.53,0.65,0.77,0.66,0.6,0.72,0.4,0.73,0.32,0.71,0.47,0.61,0.33,0.49,0.79,0.58,0.72,0.86,0.55
amygdala.csv,0.64,0.95,0.84,0.98,0.89,0.79,0.54,0.75,0.81,0.82,0.66,0.48,0.81,0.55,0.75,0.87,0.76,0.62,1.0
awemud.csv,0.51,0.42,0.74,0.67,0.76,0.53,0.49,0.66,0.29,1.0,0.72,0.69,0.43,0.61,0.82,0.6,0.65,0.75,0.52
bullet.csv,0.67,0.67,0.94,0.4,0.56,0.41,0.61,0.75,0.67,1.0,0.78,0.67,0.7,0.98,0.71,0.74,0.88,0.79,0.49
customwars.csv,0.52,0.69,0.8,0.47,0.75,0.71,0.64,0.81,0.25,1.0,0.51,0.78,0.39,0.64,0.8,0.55,0.82,0.73,0.6
dvd-create.csv,0.64,0.69,0.73,1.04,0.26,0.48,0.8,0.62,0.65,0.92,0.88,0.5,0.92,0.67,0.68,0.76,0.8,1.01,0.52
gbif-indexingtoolkit.csv,0.87,0.75,0.71,0.99,0.89,0.9,0.76,0.47,1.13,0.92,0.72,0.78,0.7,0.74,0.73,1.02,0.77,0.82,0.95
go.csv,0.78,0.34,0.61,0.79,0.64,0.56,0.43,0.81,0.44,1.0,0.83,0.69,0.44,0.57,0.77,0.57,0.62,0.35,0.45
growl-for-windows.csv,0.4,1.0,0.79,1.0,0.99,1.0,0.51,0.78,1.0,1.0,0.94,0.52,1.0,0.87,0.78,0.78,0.88,0.34,0.96
gss.csv,0.65,0.58,0.69,0.4,0.46,0.78,0.54,0.85,0.42,1.0,0.89,0.68,0.57,0.85,0.89,0.39,0.69,0.82,0.49
kwave.csv,0.62,1.0,0.48,1.0,1.0,0.6,0.68,0.81,0.58,1.0,0.91,0.75,0.84,0.8,0.88,0.45,0.6,0.87,1.0
libarchive.csv,0.65,0.54,0.78,0.76,0.59,0.73,0.6,0.96,0.61,0.77,0.99,0.49,0.58,1.0,0.92,0.8,0.87,0.83,0.48
linux-ntfs.csv,0.6,0.67,0.75,0.38,0.51,0.6,0.7,0.68,0.83,0.76,0.61,0.64,0.59,0.73,0.83,0.54,0.47,0.96,0.56
lsb.csv,0.52,0.87,0.95,0.24,0.9,0.55,0.59,0.58,0.39,1.0,0.88,0.88,0.46,0.61,0.82,0.91,0.6,0.71,0.55
mpgravity.csv,0.83,0.43,0.82,0.92,0.68,0.74,0.97,0.96,1.0,0.3,1.0,0.94,1.0,0.76,0.89,1.0,0.93,0.95,0.85
qcad2.csv,0.7,0.84,0.82,0.93,0.93,0.75,0.49,0.77,0.32,0.85,0.54,0.71,0.35,0.58,0.61,0.8,0.73,0.66,0.56
qtwin.csv,0.9,1.0,1.0,1.0,1.0,0.97,0.92,0.69,0.09,0.84,0.77,0.92,0.86,0.61,0.73,0.83,0.72,0.97,1.0
roller.csv,0.59,0.61,0.67,0.9,0.84,0.91,0.79,0.81,0.99,0.69,0.74,0.92,0.94,0.38,0.84,0.86,0.94,0.74,0.96
xinity.csv,0.92,0.93,0.6,1.13,0.98,0.89,0.89,0.59,1.06,1.0,0.68,0.81,0.95,0.66,0.51,0.91,0.85,0.49,0.99
