,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv
alsa.csv,0.32,0.31,0.35,0.46,0.45,0.43,0.46,0.35,0.29,0.32,0.36,0.32,0.3,0.38,0.39,0.46,0.37,0.34,0.3
arcallians.csv,0.27,0.26,0.29,0.3,0.3,0.42,0.45,0.21,0.27,0.21,0.16,0.2,0.29,0.27,0.24,0.4,0.22,0.32,0.17
arianne.csv,0.23,0.38,0.39,0.39,0.46,0.25,0.45,0.32,0.28,0.3,0.45,0.36,0.31,0.37,0.16,0.43,0.35,0.34,0.25
aztec.csv,0.22,0.23,0.21,0.46,0.48,0.42,0.16,0.34,0.16,0.12,0.42,0.37,0.3,0.33,0.39,0.48,0.34,0.2,0.19
bl-toolkit.csv,0.29,0.39,0.28,0.42,0.48,0.43,0.24,0.36,0.31,0.39,0.46,0.38,0.33,0.37,0.39,0.48,0.37,0.39,0.3
clamav.csv,0.19,0.17,0.14,0.18,0.26,0.26,0.17,0.22,0.18,0.16,0.19,0.2,0.16,0.2,0.23,0.24,0.21,0.14,0.21
gnupdate.csv,0.21,0.26,0.26,0.44,0.29,0.41,0.48,0.35,0.3,0.16,0.38,0.27,0.24,0.26,0.37,0.25,0.36,0.27,0.21
jmule.csv,0.25,0.31,0.28,0.29,0.36,0.17,0.46,0.36,0.3,0.23,0.39,0.3,0.25,0.31,0.16,0.43,0.37,0.24,0.21
les-indemodables.csv,0.25,0.16,0.15,0.17,0.23,0.18,0.4,0.2,0.26,0.12,0.13,0.16,0.15,0.2,0.12,0.14,0.18,0.33,0.19
mbse.csv,0.22,0.27,0.32,0.23,0.4,0.4,0.14,0.25,0.3,0.25,0.16,0.26,0.26,0.28,0.22,0.28,0.15,0.24,0.3
mplayer-ce.csv,0.35,0.29,0.35,0.37,0.32,0.27,0.48,0.25,0.34,0.29,0.2,0.25,0.26,0.27,0.32,0.31,0.23,0.38,0.3
ng4j.csv,0.17,0.18,0.21,0.19,0.19,0.39,0.22,0.28,0.27,0.18,0.18,0.22,0.23,0.22,0.26,0.26,0.35,0.25,0.28
ns-3-dev-def-routing.csv,0.33,0.14,0.21,0.23,0.19,0.39,0.44,0.21,0.34,0.25,0.32,0.33,0.29,0.18,0.36,0.35,0.28,0.37,0.3
openxava.csv,0.17,0.17,0.28,0.11,0.43,0.2,0.44,0.3,0.29,0.16,0.14,0.2,0.26,0.24,0.18,0.4,0.35,0.13,0.23
phonon-vlc-mplayer.csv,0.26,0.27,0.28,0.28,0.35,0.39,0.45,0.21,0.31,0.12,0.17,0.2,0.28,0.29,0.13,0.43,0.23,0.33,0.26
qgis.csv,0.27,0.24,0.32,0.37,0.23,0.41,0.47,0.36,0.27,0.2,0.46,0.38,0.24,0.25,0.26,0.38,0.37,0.25,0.3
vars-redux.csv,0.27,0.36,0.28,0.38,0.14,0.42,0.46,0.22,0.22,0.3,0.46,0.37,0.32,0.19,0.32,0.37,0.2,0.29,0.21
xapian.csv,0.33,0.18,0.31,0.25,0.48,0.31,0.44,0.33,0.33,0.38,0.46,0.37,0.3,0.33,0.14,0.48,0.33,0.27,0.26
yafdotnet.csv,0.26,0.22,0.17,0.19,0.14,0.17,0.18,0.16,0.29,0.34,0.35,0.13,0.18,0.2,0.14,0.12,0.15,0.19,0.25
