,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv
alsa.csv,0.66,0.63,0.76,0.42,0.69,0.14,0.19,0.39,0.61,0.52,0.29,0.78,0.62,0.56,0.38,0.54,0.62,0.33,0.62
arcallians.csv,0.53,0.62,0.68,0.67,0.74,0.14,0.14,0.47,0.54,0.44,0.5,0.4,0.61,0.58,0.45,0.53,0.45,0.47,0.47
arianne.csv,0.7,0.65,0.76,0.43,0.66,0.12,0.17,0.4,0.59,0.46,0.33,0.76,0.58,0.58,0.46,0.56,0.61,0.44,0.59
aztec.csv,0.21,0.55,0.24,0.0,0.08,0.27,0.19,0.08,0.26,0.3,0.33,0.02,0.15,0.13,0.0,0.0,0.11,0.31,0.42
bl-toolkit.csv,0.63,0.56,0.85,0.31,0.69,0.14,0.2,0.4,0.6,0.53,0.32,0.77,0.59,0.48,0.36,0.54,0.62,0.4,0.63
clamav.csv,0.44,0.57,0.36,0.36,0.58,0.07,0.23,0.47,0.35,0.63,0.3,0.51,0.5,0.52,0.4,0.54,0.53,0.19,0.5
gnupdate.csv,0.39,0.36,0.15,0.13,0.42,0.11,0.0,0.06,0.57,0.19,0.55,0.29,0.4,0.24,0.06,0.31,0.02,0.33,0.77
jmule.csv,0.6,0.62,0.77,0.68,0.66,0.32,0.19,0.4,0.62,0.49,0.35,0.69,0.62,0.61,0.42,0.54,0.62,0.57,0.83
les-indemodables.csv,0.59,0.52,0.42,0.47,0.63,0.16,0.17,0.46,0.52,0.36,0.36,0.35,0.43,0.52,0.49,0.6,0.41,0.27,0.39
mbse.csv,0.43,0.41,0.08,0.13,0.58,0.1,0.27,0.38,0.57,0.39,0.5,0.63,0.62,0.43,0.33,0.18,0.35,0.31,0.61
mplayer-ce.csv,0.68,0.68,0.67,0.46,0.72,0.13,0.2,0.41,0.56,0.3,0.41,0.5,0.4,0.57,0.48,0.58,0.53,0.47,0.57
ng4j.csv,0.37,0.64,0.56,0.6,0.63,0.15,0.3,0.45,0.68,0.29,0.47,0.63,0.51,0.56,0.44,0.56,0.61,0.58,0.15
ns-3-dev-def-routing.csv,0.32,0.4,0.45,0.6,0.52,0.08,0.1,0.36,0.19,0.3,0.45,0.19,0.27,0.52,0.26,0.56,0.43,0.32,0.0
openxava.csv,0.31,0.25,0.11,0.02,0.12,0.09,0.19,0.1,0.1,0.44,0.0,0.38,0.17,0.17,0.3,0.14,0.06,0.2,0.63
phonon-vlc-mplayer.csv,0.62,0.64,0.69,0.7,0.73,0.13,0.13,0.48,0.58,0.34,0.57,0.49,0.59,0.56,0.51,0.52,0.48,0.41,0.21
qgis.csv,0.35,0.68,0.47,0.59,0.53,0.05,0.11,0.0,0.4,0.35,0.0,0.01,0.37,0.58,0.47,0.58,0.02,0.45,0.0
vars-redux.csv,0.57,0.19,0.64,0.37,0.5,0.0,0.13,0.2,0.6,0.52,0.0,0.04,0.45,0.36,0.11,0.61,0.31,0.28,0.33
xapian.csv,0.54,0.51,0.39,0.6,0.09,0.01,0.11,0.21,0.6,0.1,0.31,0.07,0.43,0.52,0.58,0.13,0.23,0.18,0.49
yafdotnet.csv,0.6,0.59,0.4,0.37,0.61,0.08,0.27,0.55,0.62,0.09,0.3,0.33,0.63,0.49,0.44,0.47,0.42,0.41,0.71
