,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv
alsa.csv,0.86,0.81,0.83,0.99,0.9,1.0,0.97,0.97,0.74,0.82,0.8,0.7,0.81,0.98,0.93,0.92,0.98,0.85,1.0
arcallians.csv,0.68,0.58,0.5,0.3,0.39,0.98,0.98,0.53,0.73,0.64,0.51,0.76,0.67,0.56,0.51,0.8,0.67,0.55,0.67
arianne.csv,0.41,0.83,1.01,0.78,0.98,0.73,0.97,0.9,0.71,0.75,0.95,0.95,0.84,0.88,0.54,0.75,0.88,0.75,0.65
aztec.csv,0.88,0.62,0.86,1.0,0.96,0.83,0.67,0.95,0.83,0.8,0.8,0.99,0.92,0.93,1.0,1.0,0.94,0.73,0.7
bl-toolkit.csv,0.73,0.98,0.29,0.88,1.0,1.0,0.69,1.0,0.84,1.0,1.0,1.0,0.94,0.82,1.0,0.98,1.0,1.0,0.9
clamav.csv,0.71,0.56,0.78,0.68,0.7,0.9,0.63,0.58,0.75,0.43,0.66,0.65,0.62,0.61,0.58,0.54,0.6,0.86,0.62
gnupdate.csv,0.74,0.8,0.92,0.93,0.78,0.96,1.0,0.97,0.69,0.88,0.55,0.83,0.72,0.85,0.97,0.78,0.99,0.69,0.3
jmule.csv,0.59,0.69,0.41,0.28,0.63,0.48,0.96,0.98,0.82,0.59,0.77,0.56,0.55,0.61,0.63,0.85,1.0,0.39,0.23
les-indemodables.csv,0.56,0.61,0.73,0.57,0.52,0.64,0.73,0.51,0.63,0.75,0.63,0.78,0.69,0.61,0.58,0.5,0.71,0.81,0.73
mbse.csv,0.72,0.79,0.96,1.0,0.89,0.97,0.75,0.73,0.76,0.72,0.47,0.6,0.54,0.7,0.67,0.9,0.76,0.75,0.97
mplayer-ce.csv,0.71,0.62,0.69,0.63,0.49,0.72,0.92,0.59,0.84,0.8,0.52,0.68,0.72,0.62,0.55,0.62,0.59,0.63,0.72
ng4j.csv,0.75,0.48,0.6,0.46,0.5,0.88,0.55,0.72,0.57,0.81,0.42,0.54,0.6,0.54,0.69,0.53,0.9,0.55,0.92
ns-3-dev-def-routing.csv,0.79,0.74,0.7,0.49,0.63,0.92,0.89,0.66,0.88,0.8,0.65,0.89,0.83,0.58,0.85,0.62,0.69,0.73,1.0
openxava.csv,0.81,0.86,0.94,1.02,0.93,0.83,0.88,0.94,0.94,0.64,1.03,0.8,0.9,0.9,0.7,0.92,0.97,0.84,0.62
phonon-vlc-mplayer.csv,0.51,0.54,0.48,0.28,0.49,0.86,0.87,0.51,0.74,0.76,0.42,0.68,0.6,0.58,0.58,0.83,0.65,0.62,0.88
qgis.csv,0.78,0.44,0.74,0.39,0.61,0.96,0.96,1.0,0.72,0.73,1.0,0.99,0.74,0.52,0.49,0.66,0.99,0.58,1.0
vars-redux.csv,0.57,0.89,0.6,0.72,0.64,1.0,0.96,0.84,0.49,0.72,1.0,0.98,0.78,0.75,0.93,0.65,0.8,0.77,0.78
xapian.csv,0.69,0.62,0.86,0.39,0.95,1.03,0.91,0.86,0.7,0.95,0.75,0.96,0.7,0.65,0.5,0.92,0.86,0.88,0.67
yafdotnet.csv,0.64,0.6,0.77,0.66,0.53,0.84,0.53,0.45,0.78,0.95,0.8,0.8,0.46,0.66,0.55,0.65,0.7,0.59,0.5
