,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv
alsa.csv,0.45,0.52,0.48,0.05,0.35,0.0,0.13,0.13,0.61,0.5,0.52,0.65,0.55,0.09,0.27,0.3,0.09,0.47,0.0
arcallians.csv,0.53,0.64,0.6,0.84,0.74,0.09,0.28,0.56,0.58,0.48,0.55,0.33,0.66,0.66,0.64,0.54,0.44,0.69,0.38
arianne.csv,0.68,0.5,0.0,0.56,0.09,0.49,0.2,0.37,0.62,0.54,0.21,0.21,0.48,0.42,0.54,0.6,0.41,0.59,0.62
aztec.csv,0.17,0.55,0.17,0.0,0.06,0.2,0.47,0.06,0.21,0.24,0.24,0.01,0.1,0.09,0.0,0.0,0.07,0.34,0.37
bl-toolkit.csv,0.59,0.2,0.81,0.44,0.0,0.0,0.6,0.0,0.47,0.0,0.0,0.0,0.24,0.5,0.0,0.09,0.0,0.0,0.35
clamav.csv,0.42,0.54,0.28,0.47,0.57,0.31,0.48,0.71,0.33,0.64,0.51,0.43,0.45,0.58,0.62,0.62,0.54,0.18,0.46
gnupdate.csv,0.33,0.34,0.1,0.09,0.41,0.28,0.0,0.04,0.62,0.18,0.5,0.21,0.41,0.2,0.05,0.34,0.01,0.47,0.76
jmule.csv,0.6,0.62,0.71,0.81,0.65,0.58,0.17,0.09,0.51,0.53,0.57,0.64,0.69,0.69,0.43,0.45,0.0,0.71,0.81
les-indemodables.csv,0.58,0.48,0.32,0.5,0.61,0.49,0.46,0.63,0.56,0.29,0.45,0.27,0.38,0.59,0.47,0.56,0.37,0.41,0.33
mbse.csv,0.4,0.41,0.05,0.19,0.41,0.29,0.29,0.33,0.57,0.46,0.59,0.58,0.69,0.49,0.45,0.17,0.3,0.46,0.13
mplayer-ce.csv,0.63,0.68,0.58,0.67,0.73,0.41,0.3,0.54,0.48,0.24,0.58,0.43,0.4,0.65,0.75,0.69,0.5,0.69,0.58
ng4j.csv,0.29,0.6,0.45,0.6,0.59,0.15,0.8,0.64,0.75,0.24,0.7,0.57,0.51,0.61,0.36,0.66,0.35,0.5,0.1
ns-3-dev-def-routing.csv,0.26,0.3,0.35,0.57,0.44,0.1,0.28,0.42,0.15,0.24,0.4,0.13,0.21,0.49,0.18,0.67,0.41,0.34,0.0
openxava.csv,0.27,0.21,0.07,0.01,0.09,0.36,0.15,0.07,0.07,0.48,0.0,0.33,0.13,0.13,0.42,0.1,0.04,0.23,0.67
phonon-vlc-mplayer.csv,0.6,0.65,0.61,0.78,0.75,0.46,0.41,0.6,0.59,0.29,0.64,0.41,0.66,0.64,0.47,0.49,0.47,0.61,0.15
qgis.csv,0.31,0.66,0.39,0.77,0.46,0.05,0.37,0.0,0.41,0.34,0.0,0.01,0.36,0.64,0.65,0.67,0.01,0.49,0.0
vars-redux.csv,0.54,0.13,0.57,0.34,0.44,0.0,0.35,0.25,0.61,0.61,0.0,0.02,0.5,0.31,0.1,0.71,0.26,0.29,0.29
xapian.csv,0.55,0.44,0.33,0.68,0.06,0.05,0.37,0.17,0.63,0.06,0.29,0.05,0.45,0.6,0.55,0.1,0.18,0.23,0.51
yafdotnet.csv,0.61,0.6,0.32,0.52,0.58,0.28,0.7,0.62,0.56,0.06,0.24,0.25,0.62,0.56,0.54,0.4,0.38,0.53,0.77
