,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.0,0.4,0.2,0.53,0.38,0.06,0.16,0.25,0.2,0.4,0.14
ivef-sdk.csv,0.66,0.5,0.0,0.79,0.31,0.15,0.7,0.32,0.59,0.76,0.48
jaolt.csv,0.53,0.62,0.43,0.74,0.0,0.33,0.6,0.45,0.59,0.8,0.34
jmule.csv,0.41,0.48,0.17,0.53,0.55,0.58,0.37,0.16,0.43,0.44,0.0
jstock.csv,0.19,0.15,0.27,0.13,0.14,0.12,0.0,0.04,0.07,0.04,0.1
lphant.csv,0.72,0.55,0.07,0.84,0.41,0.0,0.58,0.41,0.69,0.76,0.41
novembre.csv,0.09,0.0,0.03,0.18,0.07,0.06,0.19,0.04,0.28,0.32,0.0
oorexx.csv,0.66,0.62,0.83,0.58,0.72,0.48,0.65,0.34,0.35,0.08,0.62
pi-qmc.csv,0.5,0.32,0.17,0.16,0.31,0.33,0.35,0.0,0.44,0.32,0.17
qedo.csv,0.03,0.0,0.0,0.0,0.14,0.0,0.02,0.0,0.0,0.0,0.07
yaprm.csv,0.16,0.28,0.17,0.0,0.28,0.03,0.37,0.16,0.29,0.16,0.45
