,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.76,0.97,0.71,0.92,0.96,0.75,0.83,0.93,0.83,0.97,0.88,0.66,0.88
flylinkdc.csv,0.7,0.76,0.61,0.88,0.49,0.43,0.65,0.86,0.44,0.54,0.65,0.45,0.46
fw4spl.csv,0.8,0.87,0.96,0.93,0.98,0.95,0.84,0.69,0.93,0.72,0.74,0.96,0.95
grisbi.csv,0.38,0.58,0.41,0.33,0.4,0.32,0.31,0.38,0.35,0.44,0.42,0.38,0.34
mesa3d.csv,0.96,0.92,0.77,0.75,0.72,0.93,0.92,0.69,0.78,0.98,0.97,0.95,0.93
nuttx.csv,0.33,0.61,0.37,0.4,0.42,0.33,0.3,0.34,0.35,0.43,0.43,0.39,0.4
panda3d.csv,0.93,0.77,0.94,0.83,0.83,0.55,0.86,0.8,0.88,0.76,0.94,0.81,0.9
proftp.csv,0.93,0.86,0.6,0.73,0.98,0.44,0.63,0.0,0.92,0.79,0.93,0.97,0.59
qmmp.csv,0.48,0.6,0.47,0.51,0.48,0.48,0.46,0.47,0.37,0.53,0.53,0.6,0.44
skia.csv,0.68,0.76,0.67,0.48,0.67,0.75,0.93,0.0,0.92,0.87,0.94,0.72,0.59
tart.csv,0.86,0.67,0.8,0.0,0.93,0.0,0.67,0.5,0.8,0.0,0.0,0.94,0.0
tcvp.csv,0.88,0.98,0.96,0.92,0.97,0.67,0.89,0.88,0.83,0.96,0.8,0.95,0.88
utgb.csv,0.96,0.92,0.81,0.55,0.68,0.61,0.86,0.77,0.76,0.81,0.9,0.61,0.91
