,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.44,0.27,0.98,0.25,0.0,0.06,0.14,0.25,0.0,0.3,0.2,0.27,0.31
flylinkdc.csv,1.0,0.29,0.29,0.23,0.23,0.53,0.47,0.12,0.13,0.31,0.45,0.39,0.45
fw4spl.csv,0.14,0.68,0.33,0.2,0.95,0.24,0.39,0.16,0.06,0.35,0.41,0.17,0.19
grisbi.csv,0.45,0.64,0.5,0.67,0.25,0.67,0.99,0.25,0.11,0.47,0.58,0.38,0.52
mesa3d.csv,0.12,0.39,0.36,0.15,0.21,0.36,0.23,0.23,0.11,0.27,0.21,0.83,0.16
nuttx.csv,0.42,0.99,0.54,0.67,0.23,0.62,0.86,0.23,0.14,0.38,0.66,0.4,0.48
panda3d.csv,0.12,0.24,0.14,0.2,0.22,0.48,0.35,0.0,0.28,0.97,0.28,0.3,0.36
proftp.csv,0.31,0.21,0.29,0.32,0.23,0.95,0.45,0.0,0.12,0.22,0.13,0.2,0.4
qmmp.csv,0.47,0.82,0.41,0.57,0.26,0.54,0.74,0.18,0.08,0.48,0.98,0.31,0.45
skia.csv,0.34,0.28,0.38,0.53,0.27,0.18,0.32,0.0,0.0,0.2,0.22,0.21,0.98
tart.csv,0.05,0.03,0.0,0.06,0.03,0.0,0.09,0.18,1.0,0.04,0.0,0.09,0.0
tcvp.csv,0.0,0.36,0.3,0.37,0.15,0.0,0.21,0.94,0.0,0.37,0.12,0.23,0.13
utgb.csv,0.39,0.11,0.29,0.97,0.22,0.46,0.19,0.27,0.07,0.25,0.22,0.25,0.29
