,mule.csv,springside.csv,swtfox.csv,twostep.csv,geotools.csv,l2j.csv
geotools.csv,0.74,0.45,0.54,0.7,0.51,0.46
l2j.csv,0.7,0.35,0.38,0.53,0.32,0.82
mule.csv,0.71,0.25,0.26,0.43,0.36,0.31
springside.csv,0.68,0.69,0.37,0.66,0.51,0.57
swtfox.csv,0.49,0.46,0.52,0.21,0.29,0.74
twostep.csv,0.73,0.57,0.47,0.82,0.49,0.61
