,toped.csv,irrlicht.csv,qse.csv,truevision.csv,qedo.csv,genoviz.csv
genoviz.csv,0.19,0.16,0.13,0.13,0.0,0.99
irrlicht.csv,0.0,0.67,0.0,0.0,0.0,0.0
qedo.csv,0.12,0.24,0.0,0.16,0.74,0.0
qse.csv,0.6,0.45,0.83,0.53,0.21,0.57
toped.csv,0.83,0.51,0.54,0.29,0.5,0.43
truevision.csv,0.64,0.58,0.13,0.74,0.3,0.6
