,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.26,0.2,0.2,0.3,0.19,0.35,0.31,0.22,0.21,0.27,0.15,0.29,0.22
biopax.csv,0.48,0.35,0.35,0.48,0.25,0.38,0.38,0.38,0.31,0.39,0.4,0.35,0.35
gdis.csv,0.44,0.31,0.16,0.27,0.31,0.26,0.19,0.22,0.23,0.28,0.33,0.3,0.32
kml.csv,0.24,0.35,0.36,0.24,0.19,0.39,0.38,0.4,0.23,0.38,0.43,0.35,0.42
ppcboot.csv,0.42,0.33,0.29,0.4,0.32,0.29,0.3,0.27,0.27,0.39,0.43,0.34,0.35
repositorium.csv,0.48,0.33,0.38,0.13,0.24,0.23,0.24,0.33,0.2,0.28,0.3,0.35,0.26
rsyslog.csv,0.26,0.33,0.28,0.4,0.21,0.36,0.32,0.37,0.2,0.39,0.38,0.35,0.4
simplewebservices.csv,0.52,0.31,0.41,0.56,0.32,0.41,0.38,0.22,0.33,0.2,0.33,0.24,0.25
ultimairis.csv,0.38,0.35,0.29,0.49,0.36,0.4,0.23,0.33,0.31,0.28,0.34,0.31,0.32
wow-qrsk.csv,0.22,0.22,0.26,0.54,0.35,0.41,0.38,0.32,0.31,0.31,0.47,0.17,0.21
wxstudio.csv,0.44,0.2,0.39,0.55,0.27,0.32,0.36,0.32,0.3,0.38,0.21,0.26,0.24
xbg.csv,0.4,0.34,0.41,0.56,0.32,0.41,0.39,0.21,0.33,0.39,0.47,0.28,0.15
xqilla.csv,0.32,0.28,0.3,0.15,0.19,0.3,0.26,0.27,0.17,0.33,0.22,0.24,0.25
