,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.7,0.71,0.68,0.51,0.38,0.41,0.64,0.62,0.44,0.33,0.26,0.56,0.4
biopax.csv,0.51,0.0,0.53,0.39,0.61,0.27,0.33,0.21,0.69,0.0,0.42,0.0,0.82
gdis.csv,0.56,0.61,0.59,0.46,0.76,0.57,0.3,0.52,0.87,0.0,0.5,0.52,0.64
kml.csv,0.59,0.05,0.48,0.49,0.73,0.09,0.05,0.0,0.74,0.09,0.24,0.0,0.0
ppcboot.csv,0.68,0.47,0.77,0.6,0.77,0.49,0.66,0.67,0.67,0.0,0.38,0.32,0.79
repositorium.csv,0.18,0.06,0.01,0.19,0.16,0.85,0.05,0.27,0.27,0.65,0.38,0.41,0.31
rsyslog.csv,0.73,0.42,0.72,0.58,0.47,0.36,0.5,0.51,0.64,0.0,0.32,0.0,0.64
simplewebservices.csv,0.17,0.45,0.26,0.09,0.52,0.05,0.24,0.61,0.58,0.92,0.78,0.67,0.47
ultimairis.csv,0.72,0.0,0.7,0.53,0.0,0.22,0.7,0.59,0.57,0.0,0.37,0.43,0.65
wow-qrsk.csv,0.23,0.57,0.84,0.41,0.07,0.0,0.05,0.15,0.15,0.52,0.04,0.41,0.43
wxstudio.csv,0.56,0.35,0.29,0.29,0.44,0.53,0.4,0.0,0.43,0.0,0.69,0.13,0.32
xbg.csv,0.46,0.0,0.09,0.62,0.31,0.21,0.3,0.75,0.27,0.0,0.25,0.41,0.18
xqilla.csv,0.15,0.47,0.58,0.23,0.32,0.42,0.51,0.41,0.29,0.99,0.69,0.38,0.36
