,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.64,0.97,0.71,0.81,0.54,0.45,0.88,0.0,0.7,0.88,0.75
bdbbasic.csv,0.46,0.68,0.73,0.41,0.57,0.38,0.57,0.92,0.51,0.4,0.78
bibletime.csv,0.45,0.39,0.41,0.45,0.46,0.42,0.4,0.4,0.5,0.37,0.38
crux-framework.csv,0.78,0.5,0.95,0.7,0.88,0.62,0.58,0.51,0.8,0.54,0.93
etherboot.csv,0.0,0.93,0.0,0.0,0.58,0.0,0.73,0.88,0.0,0.39,0.36
gnukeda.csv,0.45,0.46,0.71,0.53,0.45,0.43,0.8,0.76,0.47,0.42,0.41
google-gears.csv,0.44,0.43,0.49,0.52,0.43,0.5,0.42,0.41,0.48,0.42,0.47
jnode.csv,0.67,0.59,0.82,0.59,0.86,0.8,0.91,0.83,0.95,0.67,0.8
openmeetings.csv,0.56,0.54,0.58,0.8,0.42,0.36,0.9,0.46,0.81,0.5,0.59
pgui.csv,0.59,0.4,0.0,0.54,0.43,0.47,0.44,0.59,0.54,0.37,0.42
wxcrp.csv,0.53,0.48,0.46,0.5,0.43,0.51,0.42,0.41,0.52,0.38,0.57
