,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.43,0.19,0.29,0.23,0.45,0.45,0.25,0.29,0.98,0.35,0.32,0.09,0.22
badtrinity-zero.csv,0.47,0.26,0.97,0.69,0.18,0.34,0.41,0.7,0.3,0.34,0.67,0.19,0.19
betoffice.csv,0.4,0.38,0.42,0.5,0.95,0.19,0.22,0.17,0.31,0.15,0.62,0.11,0.0
exordium.csv,0.2,0.0,0.27,0.23,0.5,0.46,0.97,0.6,0.31,0.19,0.2,0.25,0.33
fltk.csv,0.38,0.13,0.55,0.93,0.21,0.5,0.58,0.75,0.44,0.27,0.6,0.3,0.26
gabel.csv,0.0,0.0,0.0,0.28,0.0,0.21,0.15,0.3,0.05,1.0,0.09,0.17,0.0
genoviz.csv,0.23,0.0,0.27,0.1,0.04,0.36,0.19,0.15,0.2,0.11,0.09,0.05,1.0
irrlicht.csv,0.54,0.43,0.62,0.63,0.66,0.41,0.41,0.86,0.31,0.17,0.99,0.16,0.2
nug.csv,0.94,0.39,0.49,0.56,0.5,0.39,0.44,0.47,0.4,0.18,0.73,0.19,0.18
rezilla.csv,0.44,0.92,0.63,0.67,0.61,0.46,0.44,0.87,0.47,0.15,0.74,0.13,0.19
toped.csv,0.49,0.43,0.65,0.7,0.65,0.2,0.4,0.99,0.16,0.15,0.83,0.14,0.12
xmemcached.csv,0.17,0.26,0.53,0.42,0.43,0.98,0.42,0.7,0.5,0.3,0.46,0.16,0.26
zoolib.csv,0.11,0.0,0.15,0.46,0.12,0.38,0.44,0.3,0.0,0.1,0.29,0.83,0.33
