,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.63,0.89,0.82,0.88,0.74,0.55,0.84,0.85,0.04,0.3,0.84,0.85,0.65
badtrinity-zero.csv,0.73,0.81,0.04,0.56,0.93,0.69,0.68,0.69,0.91,0.34,0.59,0.61,0.76
betoffice.csv,0.66,0.88,0.74,0.72,0.09,0.87,0.86,0.96,0.75,0.66,0.64,0.82,1.02
exordium.csv,0.88,1.0,0.84,0.87,0.65,0.56,0.05,0.64,0.75,0.57,0.89,0.81,0.44
fltk.csv,0.69,0.93,0.58,0.12,0.88,0.5,0.39,0.57,0.76,0.48,0.58,0.6,0.62
gabel.csv,1.0,1.0,1.0,0.84,1.0,0.87,0.9,0.83,0.98,0.0,0.95,0.9,1.0
genoviz.csv,0.84,1.0,0.84,0.95,0.98,0.78,0.89,0.92,0.88,0.88,0.96,0.97,0.0
irrlicht.csv,0.81,0.84,0.85,0.91,0.53,0.61,0.89,0.58,0.97,0.84,0.06,0.86,0.63
nug.csv,0.07,0.99,0.78,0.73,0.76,0.88,0.64,0.87,0.89,0.78,0.78,0.69,0.8
rezilla.csv,0.91,0.11,0.84,0.78,0.88,0.8,0.76,0.9,0.72,0.84,0.65,0.78,0.93
toped.csv,1.0,0.99,0.78,0.97,0.49,0.89,0.9,0.11,0.89,0.97,0.95,0.9,0.84
xmemcached.csv,0.89,0.81,0.74,0.72,0.82,0.04,0.59,0.87,0.54,0.36,0.74,0.85,0.62
zoolib.csv,0.94,1.0,0.92,0.69,0.93,0.74,0.64,0.83,1.01,0.88,0.85,0.23,0.8
