,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,5.0,0.0,2.0,3.0,7.0,9.0,1.0,0.0,0.0,4.0,2.0,10.0,18.0
badtrinity-zero.csv,0.0,6.0,0.0,1.0,4.0,11.0,14.0,1.0,15.0,5.0,0.0,6.0,24.0
betoffice.csv,0.0,18.0,0.0,3.0,0.0,6.0,16.0,0.0,3.0,10.0,0.0,16.0,49.0
exordium.csv,0.0,58.0,0.0,1.0,0.0,5.0,0.0,0.0,7.0,26.0,0.0,0.0,7.0
fltk.csv,0.0,9.0,0.0,1.0,1.0,11.0,4.0,0.0,5.0,7.0,0.0,2.0,11.0
gabel.csv,52.0,58.0,160.0,0.0,89.0,2.0,5.0,0.0,7.0,0.0,0.0,0.0,49.0
genoviz.csv,5.0,58.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,10.0,0.0
irrlicht.csv,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,9.0,12.0,0.0,13.0,13.0
nug.csv,0.0,0.0,0.0,2.0,0.0,5.0,10.0,0.0,8.0,16.0,0.0,14.0,18.0
rezilla.csv,0.0,0.0,0.0,2.0,4.0,1.0,9.0,0.0,4.0,42.0,0.0,8.0,26.0
toped.csv,0.0,0.0,0.0,3.0,0.0,1.0,11.0,0.0,3.0,20.0,0.0,15.0,6.0
xmemcached.csv,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,10.0,0.0,14.0,13.0
zoolib.csv,0.0,58.0,0.0,0.0,0.0,2.0,2.0,0.0,82.0,9.0,0.0,1.0,0.0
