,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.57,0.79,0.44,0.82,0.64,0.82,0.57,0.94,1.0,0.68,0.61,0.82,0.39
avisynth2.csv,0.94,0.99,1.0,0.51,0.91,0.96,0.87,1.0,0.03,0.97,1.0,1.0,0.96
beast-mcmc.csv,0.36,0.83,0.7,0.94,0.5,0.91,0.43,0.65,0.74,0.64,0.69,0.64,0.62
dataobjectsdotnet.csv,0.54,0.74,0.83,1.05,0.75,0.72,0.56,0.58,0.81,0.54,0.6,0.77,0.84
exist.csv,0.62,0.93,0.74,0.83,0.72,0.34,0.78,0.87,0.73,0.76,0.75,1.0,0.35
foursquared.csv,0.82,0.91,0.81,1.01,0.87,0.83,0.73,0.27,0.23,0.93,0.92,0.8,0.96
jaxlib.csv,0.74,0.8,0.69,0.04,0.81,0.86,0.77,0.56,0.69,0.77,0.78,0.76,0.99
jrefactory.csv,0.89,0.52,0.72,0.6,0.95,0.96,1.02,0.84,1.0,0.74,0.82,0.67,0.97
nodal.csv,0.82,0.61,0.68,0.9,0.37,0.92,0.77,0.81,1.11,0.75,0.74,0.73,0.71
opendvr.csv,0.5,0.94,0.57,0.98,0.62,0.51,0.41,0.56,0.97,0.71,0.65,0.46,0.57
pokenetonline.csv,0.83,0.99,0.96,1.0,0.69,1.0,0.3,0.72,1.0,0.8,0.78,0.82,0.23
simplewebservices.csv,0.88,0.8,0.98,1.0,0.8,0.56,1.0,0.84,0.84,0.81,0.47,1.0,0.48
uface.csv,0.48,0.78,0.68,1.06,0.74,0.88,0.35,0.76,1.0,0.67,0.76,0.75,0.1
