,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.64,0.43,0.65,0.5,0.48,0.68,0.43,0.08,1.0,0.49,0.65,0.91,0.63
avisynth2.csv,0.06,0.02,0.0,0.5,0.09,0.04,0.13,0.0,1.0,0.03,0.0,0.0,0.05
beast-mcmc.csv,0.73,0.69,0.68,0.5,0.57,0.96,0.72,0.96,1.0,0.44,0.34,0.59,0.4
dataobjectsdotnet.csv,0.58,0.71,0.7,0.0,0.3,0.8,0.65,0.71,1.0,0.59,0.7,0.64,0.26
exist.csv,0.79,0.51,0.5,1.0,0.48,0.78,0.82,0.96,1.0,0.67,0.79,1.0,0.74
foursquared.csv,0.18,0.1,0.2,0.0,0.13,0.2,0.28,0.83,1.0,0.07,0.08,0.23,0.05
jaxlib.csv,0.33,0.27,0.43,1.0,0.61,0.16,0.72,0.79,0.33,0.27,0.67,0.36,0.89
jrefactory.csv,0.48,0.73,0.35,0.5,0.96,0.04,0.67,0.71,0.0,0.47,0.44,0.55,0.9
nodal.csv,0.2,0.53,0.65,0.5,0.65,0.9,0.85,0.21,0.0,0.32,0.29,0.68,0.3
opendvr.csv,0.8,0.39,0.48,1.0,0.65,0.83,0.9,0.58,1.0,0.49,0.65,0.64,0.44
pokenetonline.csv,0.95,0.73,1.0,1.0,0.78,1.0,0.82,1.0,1.0,0.65,0.91,0.86,0.8
simplewebservices.csv,0.91,0.35,0.97,1.0,0.87,0.73,1.0,0.88,0.67,0.67,0.69,0.95,0.94
uface.csv,0.77,0.55,0.43,0.5,0.43,0.98,0.67,0.96,1.0,0.59,0.83,0.59,0.93
