,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.04,0.32,0.39,0.53,0.55,0.55,0.69,0.45,0.37,0.51,0.5
bscwweasel.csv,0.02,0.17,0.4,0.72,0.6,0.46,0.42,0.56,0.34,0.52,0.6
capcode.csv,0.02,0.56,0.62,0.63,0.33,0.81,0.44,0.33,0.64,0.55,0.44
lamp.csv,0.35,0.66,0.43,0.54,0.0,0.47,0.13,0.66,0.61,0.7,0.56
nodal.csv,0.01,0.4,0.58,0.62,0.41,0.64,0.07,0.37,0.64,0.68,0.72
pydev.csv,0.59,0.54,0.35,0.66,0.71,0.59,0.21,0.47,0.51,0.68,0.56
retromenu.csv,0.02,0.53,0.29,0.29,0.81,0.2,0.59,0.23,0.39,0.2,0.39
smbopensoft.csv,0.82,0.09,0.34,0.57,0.43,0.2,0.63,0.28,0.43,0.46,0.61
stuproa-cims.csv,0.0,0.17,0.47,0.49,0.72,0.29,0.02,0.59,0.4,0.56,0.7
thout.csv,0.31,0.32,0.62,0.49,0.65,0.3,0.21,0.27,0.24,0.53,0.57
uface.csv,0.0,0.0,0.2,0.72,0.65,0.63,0.21,0.55,0.58,0.46,0.93
