,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.2,0.29,0.42,0.48,0.24,0.45,0.58,0.19,0.08,0.67,0.71,0.38,0.07
autofac.csv,0.63,0.18,0.76,0.55,0.57,0.43,0.68,0.22,0.07,0.49,0.67,0.49,0.09
coot.csv,0.9,0.0,0.44,0.62,0.45,0.44,0.0,0.17,0.06,0.5,0.74,0.56,0.11
dsworkbench.csv,0.18,0.85,0.24,0.18,0.2,0.17,0.18,0.25,0.0,0.2,0.12,0.31,0.0
emono.csv,0.86,0.55,0.44,0.67,0.4,0.49,0.49,0.16,0.06,0.49,0.69,0.71,0.13
exist.csv,0.71,0.79,0.64,0.69,0.31,0.51,0.78,0.22,0.0,0.53,0.65,0.73,0.12
freelords.csv,0.9,0.83,0.6,0.73,0.54,0.45,0.73,0.19,0.09,0.54,0.69,0.73,0.07
google-collections.csv,0.9,0.86,0.64,0.85,0.45,0.51,0.72,0.22,0.06,0.54,0.68,0.79,0.11
jchassis.csv,0.05,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.5,0.0,0.0,0.0,0.0
jpaul.csv,0.52,0.72,0.35,0.17,0.64,0.31,0.18,0.35,0.18,0.24,0.0,0.0,0.0
neodatis-odb.csv,0.96,0.74,0.59,0.67,0.35,0.65,0.55,0.26,0.06,0.47,0.64,0.46,0.17
octet.csv,0.42,0.52,0.54,0.48,0.29,0.5,0.71,0.48,0.0,0.35,0.51,0.54,0.06
thedata.csv,0.81,0.65,0.54,0.59,0.25,0.43,0.61,0.12,0.0,0.47,0.64,0.6,0.62
