,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.89,0.86,0.89,0.82,0.84,0.64,0.8,0.83,0.74,0.38,0.71,0.82,0.85
autofac.csv,0.73,0.9,0.31,0.75,0.47,0.87,0.64,0.67,0.76,0.61,0.56,0.67,0.8
coot.csv,1.01,1.0,0.68,0.84,0.86,0.71,1.0,0.96,0.88,0.59,0.39,0.63,0.78
dsworkbench.csv,0.9,0.32,0.86,0.9,0.88,0.9,0.9,0.86,1.0,0.92,0.93,0.81,1.0
emono.csv,1.02,0.69,0.8,0.84,0.89,0.72,0.7,0.88,1.0,0.61,0.62,0.55,0.77
exist.csv,0.66,0.89,1.0,0.68,0.91,0.85,0.36,0.73,1.18,0.6,0.82,0.54,0.65
freelords.csv,0.53,0.82,0.63,0.59,0.5,0.83,0.91,0.7,0.62,0.7,0.84,0.9,1.02
google-collections.csv,0.19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jchassis.csv,0.97,1.0,1.0,1.0,1.0,0.98,0.99,1.0,0.06,1.0,1.0,1.0,1.0
jpaul.csv,0.65,0.66,0.77,0.93,0.38,0.78,0.9,0.49,0.27,0.86,1.0,1.0,1.01
neodatis-odb.csv,1.0,0.51,0.81,0.67,0.92,0.38,0.7,0.68,0.97,0.8,0.54,0.69,0.76
octet.csv,0.74,0.74,0.66,0.7,0.8,0.56,0.91,0.34,1.03,0.83,0.7,0.72,0.86
thedata.csv,1.04,0.54,0.82,0.83,0.98,0.72,0.69,0.94,1.09,0.63,0.62,0.68,0.08
