,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.65,0.6,0.58,0.93,0.0,0.82,0.61,0.35,0.82,0.0
critterding.csv,0.43,0.69,0.32,0.53,0.17,0.8,0.33,0.43,0.79,0.62
enlightenment.csv,0.56,0.45,0.25,0.74,0.19,0.76,0.27,0.58,0.7,0.58
exordium.csv,0.78,0.61,0.57,1.0,0.24,0.94,1.0,0.71,0.93,0.92
google-caja.csv,0.47,0.48,0.33,0.75,0.23,0.9,0.67,0.43,0.86,0.79
itext.csv,0.46,0.52,0.31,0.72,0.25,0.74,0.47,0.45,0.88,0.81
lockss.csv,0.46,0.78,0.48,0.7,0.31,0.8,0.4,0.62,0.78,0.79
modplug.csv,0.4,0.49,0.33,0.59,0.22,0.76,0.29,0.42,0.84,0.72
reactos-mirror.csv,0.62,0.61,0.29,0.79,0.25,0.83,0.28,0.71,0.8,0.64
yafdotnet.csv,0.41,0.46,0.41,0.75,0.23,0.79,0.62,0.68,0.9,0.77
