,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.01,0.1,0.09,0.0,0.01,0.15,0.18,0.56,0.25,0.03
critterding.csv,0.52,0.24,0.64,0.43,0.91,0.41,0.65,0.76,0.42,0.6
enlightenment.csv,0.33,1.0,1.0,0.32,1.0,0.93,1.0,0.29,0.75,0.67
exordium.csv,0.0,0.22,0.21,0.0,0.66,0.11,0.0,0.12,0.04,0.03
google-caja.csv,0.47,0.56,0.43,0.23,0.78,0.26,0.12,0.95,0.29,0.2
itext.csv,0.61,0.29,0.75,0.3,0.66,1.0,0.33,0.83,0.21,0.2
lockss.csv,0.37,0.05,0.23,0.31,0.32,0.48,0.53,0.28,0.33,0.2
modplug.csv,0.88,0.85,0.64,0.86,0.83,0.74,0.94,0.98,0.33,0.37
reactos-mirror.csv,0.25,0.37,0.8,0.19,0.39,0.44,1.0,0.08,0.42,0.6
yafdotnet.csv,0.34,0.49,0.29,0.13,0.7,0.67,0.06,0.24,0.12,0.23
