,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,jmonkeyengine.csv,e-bio-flow.csv,tmva.csv,joustsim.csv,reaper3d.csv,jchassis.csv,chaosrts.csv,thedata.csv
array4j.csv,0.27,0.32,0.2,0.7,0.85,0.66,0.69,0.5,0.9,0.54,0.03,0.62,0.17,0.42,0.95,0.73
chaosrts.csv,0.34,0.29,0.67,0.15,0.35,0.34,0.39,0.37,0.42,0.42,0.45,0.3,0.68,0.3,0.16,0.97
dxengine.csv,0.34,0.21,0.25,0.75,0.29,0.17,0.15,0.27,0.0,0.31,0.13,0.25,0.19,0.2,0.16,0.48
e-bio-flow.csv,0.22,0.3,0.2,0.3,0.38,0.27,0.55,0.44,0.08,0.21,0.15,0.05,0.4,0.02,0.16,0.21
jbpm.csv,0.15,0.14,0.08,0.0,0.06,0.02,0.12,0.05,0.06,0.12,0.0,0.17,0.0,0.0,0.32,0.05
jchassis.csv,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0
jmoney.csv,0.15,0.3,0.41,0.1,0.4,0.41,0.37,0.27,0.18,0.48,0.22,0.37,0.34,0.15,0.26,0.24
jmonkeyengine.csv,0.51,0.9,0.78,0.75,0.6,0.48,0.63,0.79,0.18,0.67,0.95,0.73,0.75,0.71,0.21,0.82
joustsim.csv,0.37,0.56,0.63,0.15,0.82,0.26,0.29,0.6,0.56,0.37,0.87,0.12,0.85,0.53,0.11,0.27
jsidplay2.csv,0.56,0.41,0.47,0.2,0.51,0.95,0.81,0.5,0.8,0.52,0.18,0.93,0.27,0.38,0.84,0.89
log4net.csv,0.2,0.48,0.14,0.05,0.08,0.3,0.19,0.13,0.08,0.44,0.17,0.27,0.13,0.0,0.32,0.47
piccolo2d.csv,0.02,0.57,0.04,0.05,0.21,0.29,0.27,0.18,0.22,0.27,0.08,0.13,0.06,0.02,0.42,0.27
reaper3d.csv,0.46,0.6,0.29,0.55,0.52,0.49,0.78,0.44,0.4,0.58,0.12,0.23,0.31,0.18,0.53,0.03
sblim.csv,0.46,0.19,0.37,0.0,0.2,0.4,0.14,0.37,0.24,0.33,0.78,0.2,0.12,0.32,0.37,0.48
thedata.csv,0.68,0.76,0.53,0.6,0.65,0.72,0.83,0.66,0.4,0.75,0.43,0.68,0.8,0.48,0.84,0.08
tmva.csv,0.71,0.87,0.51,1.0,0.81,1.0,0.98,0.79,1.0,0.9,0.3,1.0,0.56,0.74,1.0,1.0
