,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,jmonkeyengine.csv,e-bio-flow.csv,tmva.csv,joustsim.csv,reaper3d.csv,jchassis.csv,chaosrts.csv,thedata.csv
array4j.csv,0.18,0.4,0.24,0.57,0.19,0.16,0.15,0.03,0.41,0.39,0.17,0.22,0.08,0.0,0.82,0.12
chaosrts.csv,0.38,0.3,0.39,0.39,0.18,0.26,0.28,0.08,0.41,0.45,0.83,0.39,0.19,0.0,0.85,0.12
dxengine.csv,0.49,0.19,0.62,0.59,0.54,0.07,0.04,0.0,0.0,0.26,0.27,0.21,0.2,0.0,0.13,0.06
e-bio-flow.csv,0.19,0.06,0.39,0.57,0.36,0.37,0.21,0.03,0.43,0.66,0.4,0.44,0.19,0.0,0.36,0.11
jbpm.csv,0.21,0.15,0.18,0.1,0.14,0.0,0.57,0.0,0.25,0.29,0.06,0.09,0.0,0.0,0.4,0.25
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0
jmoney.csv,0.79,0.29,0.61,0.58,0.4,0.32,0.32,0.0,0.31,0.57,0.47,0.39,0.17,0.0,0.62,0.1
jmonkeyengine.csv,0.22,0.26,0.54,0.51,0.43,0.07,0.23,0.02,0.58,0.45,0.72,0.2,0.13,0.08,0.51,0.1
joustsim.csv,0.11,0.21,0.58,0.37,0.35,0.16,0.31,0.02,0.44,0.42,0.65,0.71,0.14,0.1,0.29,0.32
jsidplay2.csv,0.57,0.38,0.3,0.88,0.17,0.25,0.23,0.06,0.37,0.48,0.5,0.24,0.11,0.0,0.86,0.1
log4net.csv,0.63,0.33,0.26,0.38,0.24,0.35,0.2,0.26,0.0,0.44,0.24,0.46,0.25,0.0,0.51,0.06
piccolo2d.csv,0.55,0.27,0.34,0.44,0.43,0.46,0.23,0.14,0.34,0.51,0.41,0.27,0.0,0.0,0.59,0.09
reaper3d.csv,0.5,0.23,0.55,0.74,0.41,0.17,0.11,0.03,0.23,0.44,0.29,0.15,0.27,0.0,0.25,0.29
sblim.csv,0.5,0.19,0.54,0.03,0.63,0.26,0.39,0.0,0.29,0.43,0.72,0.36,0.0,0.08,0.54,0.06
thedata.csv,0.5,0.34,0.54,0.75,0.41,0.2,0.12,0.04,0.27,0.47,0.53,0.27,0.15,0.0,0.72,0.62
tmva.csv,0.54,0.35,0.39,0.86,0.12,0.24,0.22,0.05,0.42,0.53,0.81,0.27,0.17,0.0,0.94,0.11
