,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,jmonkeyengine.csv,e-bio-flow.csv,tmva.csv,joustsim.csv,reaper3d.csv,jchassis.csv,chaosrts.csv,thedata.csv
array4j.csv,0.21,0.31,0.33,0.67,0.12,0.1,0.09,0.02,0.26,0.33,0.89,0.14,0.06,0.0,0.86,0.06
chaosrts.csv,0.36,0.25,0.31,0.83,0.15,0.18,0.18,0.04,0.32,0.41,0.83,0.28,0.11,0.0,0.97,0.06
dxengine.csv,0.44,0.19,0.58,0.67,0.41,0.07,0.03,0.0,0.0,0.3,0.77,0.17,0.14,0.0,0.77,0.03
e-bio-flow.csv,0.25,0.05,0.47,0.81,0.27,0.27,0.13,0.02,0.6,0.65,0.83,0.57,0.11,0.0,0.91,0.07
jbpm.csv,0.33,0.18,0.43,1.0,0.29,0.0,0.45,0.0,0.5,0.5,1.0,0.09,0.0,0.0,0.86,0.25
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0
jmoney.csv,0.74,0.24,0.5,0.93,0.29,0.21,0.21,0.0,0.36,0.47,0.81,0.27,0.11,0.0,0.93,0.06
jmonkeyengine.csv,0.19,0.16,0.38,0.62,0.29,0.05,0.14,0.01,0.55,0.35,0.69,0.12,0.07,0.04,0.92,0.06
joustsim.csv,0.12,0.15,0.43,0.82,0.22,0.12,0.21,0.01,0.32,0.41,0.67,0.59,0.08,0.05,0.92,0.19
jsidplay2.csv,0.42,0.28,0.27,0.93,0.12,0.14,0.13,0.03,0.25,0.4,0.84,0.14,0.07,0.0,0.88,0.05
log4net.csv,0.62,0.23,0.42,0.93,0.36,0.24,0.16,0.15,0.0,0.39,0.71,0.33,0.19,0.0,0.89,0.03
piccolo2d.csv,0.89,0.18,0.75,0.94,0.38,0.31,0.17,0.08,0.35,0.52,0.9,0.27,0.0,0.0,0.89,0.06
reaper3d.csv,0.41,0.16,0.52,0.79,0.28,0.11,0.06,0.02,0.2,0.36,0.81,0.12,0.16,0.0,0.68,0.33
sblim.csv,0.41,0.2,0.47,1.0,0.51,0.18,0.32,0.0,0.29,0.43,0.72,0.29,0.0,0.05,0.89,0.03
thedata.csv,0.36,0.21,0.43,0.78,0.27,0.12,0.07,0.02,0.23,0.35,0.73,0.16,0.08,0.0,0.84,0.44
tmva.csv,0.38,0.21,0.33,0.75,0.08,0.14,0.12,0.03,0.26,0.37,0.88,0.15,0.1,0.0,0.88,0.06
