,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.84,0.07,0.68,0.6
n2cms.csv,0.04,0.55,0.83,0.63
nassp.csv,0.86,0.79,0.91,0.0
nug.csv,0.7,0.94,0.06,0.79
