,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.02,0.07,0.03,0.35,0.17,0.05,0.07,0.09,0.03,0.39,0.16,0.4,0.09,0.0
boost-sandbox.csv,0.5,0.64,0.55,0.35,0.83,0.49,0.61,0.66,0.58,0.73,0.23,0.2,0.57,0.67
customwars.csv,0.23,0.09,0.0,0.42,0.06,0.33,0.0,0.29,0.29,0.0,0.16,0.04,0.22,0.0
dvd-create.csv,0.39,0.6,0.89,0.48,0.17,0.87,0.0,0.84,0.58,0.88,0.45,0.44,0.58,0.33
frogatto.csv,0.95,0.56,0.05,0.75,0.56,0.72,0.85,0.72,0.84,0.24,0.86,0.71,0.47,0.33
glelite.csv,0.97,0.93,0.63,0.94,0.94,0.56,1.0,0.52,0.97,0.79,0.89,0.95,0.8,0.0
go.csv,0.64,0.2,0.7,0.75,0.22,0.79,0.0,0.89,0.32,0.33,0.41,0.76,0.5,0.33
irplus.csv,0.26,0.22,0.06,0.56,0.28,0.33,0.27,0.54,0.58,0.18,0.32,0.08,0.21,0.0
lsb.csv,0.7,0.71,0.13,0.62,0.83,0.28,0.0,0.87,0.35,0.48,0.86,0.43,0.67,0.33
moving-pictures.csv,0.32,0.0,0.0,0.21,0.0,0.54,0.0,0.62,0.29,0.42,0.5,0.02,0.21,0.0
mpgravity.csv,0.84,0.36,0.91,0.1,0.78,0.95,0.24,1.0,0.65,0.64,0.91,0.97,0.53,1.0
plearn.csv,0.28,0.02,0.34,0.17,0.22,0.72,0.63,0.62,0.55,0.12,0.48,0.95,0.47,0.67
rebecca-aiml.csv,0.29,0.51,0.44,0.69,0.28,0.49,0.0,0.91,0.87,0.52,0.73,0.15,0.51,0.0
wxcode.csv,0.27,0.09,0.0,0.52,0.06,0.13,0.34,0.14,0.29,0.0,0.14,0.35,0.18,0.0
