,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.95,0.96,0.87,0.46,1.01,0.96,0.75,0.77,0.82,0.68,0.82,0.48,0.3,0.78
boost-sandbox.csv,0.59,0.7,0.75,0.8,0.84,0.58,0.9,0.73,0.89,0.78,0.68,0.61,1.15,1.03
customwars.csv,0.6,0.66,0.69,0.6,0.83,0.81,1.0,0.61,0.58,0.67,0.74,0.89,0.27,0.68
dvd-create.csv,0.55,0.63,0.99,0.65,0.27,0.9,1.0,0.86,0.62,0.88,0.53,0.48,0.6,0.47
frogatto.csv,0.95,0.62,0.51,0.76,0.66,0.82,0.86,0.74,0.85,0.43,0.86,0.8,0.47,0.35
glelite.csv,0.97,0.93,0.85,0.94,0.95,0.79,1.0,0.62,0.98,0.8,0.89,0.98,0.8,0.04
go.csv,0.69,0.3,0.97,0.81,0.67,0.8,0.92,0.9,0.69,0.45,0.52,0.93,0.66,0.58
irplus.csv,0.59,0.61,0.43,0.64,0.61,0.82,0.64,0.59,0.68,0.56,0.48,0.58,0.35,0.77
lsb.csv,0.78,0.82,0.28,0.66,0.84,0.78,1.0,0.89,0.58,0.55,0.88,0.65,0.67,0.58
moving-pictures.csv,0.57,0.82,0.93,0.86,0.96,0.77,1.0,0.71,0.49,0.58,0.69,0.72,0.35,0.65
mpgravity.csv,0.84,0.47,0.93,0.8,0.79,0.95,0.41,1.0,0.72,0.65,0.92,0.98,0.53,1.02
plearn.csv,0.49,0.76,1.04,0.89,0.83,0.8,0.68,0.86,0.87,0.73,0.68,0.99,0.55,0.75
rebecca-aiml.csv,0.63,0.57,0.5,0.71,0.46,0.84,1.0,0.91,0.88,0.53,0.74,0.2,0.59,0.5
wxcode.csv,0.62,0.63,0.89,0.71,0.87,0.83,0.38,0.72,0.8,0.86,0.62,0.87,0.18,0.66
