,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,0.99,0.0,0.5,0.42,0.59,0.0,0.41,0.47,0.37,0.36,0.8,0.4,0.38,0.42,0.6,0.36,0.4,0.46,0.4,0.34
bibletime.csv,0.36,0.38,0.41,0.39,0.39,0.41,0.32,0.39,0.31,0.35,0.31,0.38,0.37,0.36,0.3,0.36,0.39,0.41,0.32,0.32
critterding.csv,0.53,0.59,0.38,0.48,0.45,0.48,0.39,0.46,0.42,0.41,0.39,0.48,0.44,0.46,0.29,0.38,0.43,0.48,0.38,0.38
etics.csv,0.77,0.61,0.53,0.71,0.53,0.53,0.86,0.72,0.38,0.47,0.49,0.54,0.51,0.8,0.55,0.44,0.94,0.67,0.45,0.42
fmri-dmt.csv,0.6,0.67,0.5,0.62,0.61,0.44,0.85,0.65,0.82,0.98,0.74,0.56,0.7,0.52,0.83,0.48,0.66,0.62,0.4,0.83
genecys.csv,0.48,0.45,0.45,0.54,0.46,0.56,0.39,0.54,0.49,0.4,0.56,0.4,0.53,0.43,0.31,0.57,0.55,0.5,0.35,0.39
genoviz.csv,0.97,0.77,0.83,0.89,0.93,0.73,0.8,0.96,0.45,0.94,0.52,0.67,0.57,0.75,0.79,0.61,0.89,0.86,0.88,0.71
kftpgrabber.csv,0.75,0.45,0.75,0.65,0.57,0.36,0.8,0.63,0.0,0.38,0.48,0.53,0.42,0.86,0.51,0.34,0.75,0.62,0.64,0.32
kvs.csv,0.52,0.47,0.53,0.56,0.96,0.58,0.55,0.64,0.75,0.47,0.48,0.52,0.91,0.45,0.31,0.67,0.6,0.74,0.37,0.4
mcore3d.csv,0.98,0.5,0.75,0.57,0.45,0.43,0.44,0.56,0.44,0.6,0.39,0.58,0.47,0.48,0.37,0.54,0.52,0.45,0.41,0.48
miranda.csv,0.0,0.0,0.53,0.59,0.71,0.0,0.48,0.57,0.39,0.39,0.83,0.52,0.49,0.42,0.88,0.53,0.41,0.46,0.36,0.39
modplug.csv,0.41,0.48,0.38,0.47,0.41,0.44,0.35,0.48,0.44,0.36,0.43,0.44,0.43,0.43,0.32,0.37,0.45,0.42,0.33,0.34
monetdb.csv,0.58,0.67,0.8,0.57,0.49,0.55,0.89,0.88,0.89,0.47,0.59,0.54,0.51,0.38,0.92,0.49,0.62,0.57,0.44,0.38
netatalk.csv,0.83,0.53,0.4,0.46,0.54,0.45,0.39,0.52,0.43,0.42,0.37,0.35,0.51,0.48,0.37,0.36,0.46,0.54,0.39,0.35
ogrehg.csv,0.99,0.74,0.6,0.6,0.47,0.41,0.67,0.53,0.41,0.42,0.42,0.41,0.48,0.83,0.43,0.41,0.71,0.59,0.35,0.36
passwordsafe.csv,0.95,0.65,0.49,0.53,0.47,0.55,0.58,0.55,0.4,0.44,0.4,0.49,0.42,0.44,0.42,0.37,0.58,0.49,0.46,0.39
projecteqemu.csv,0.46,0.7,0.52,0.66,0.59,0.41,0.83,0.62,0.36,0.45,0.49,0.47,0.47,0.41,0.43,0.46,0.77,0.72,0.35,0.36
reactos-mirror.csv,0.56,0.52,0.4,0.52,0.44,0.51,0.47,0.46,0.37,0.37,0.4,0.44,0.45,0.42,0.32,0.44,0.53,0.51,0.35,0.35
xbplayer.csv,0.65,0.55,0.67,0.48,0.51,0.49,0.86,0.57,0.46,0.62,0.39,0.41,0.37,0.6,0.44,0.41,0.57,0.45,0.35,0.38
xmoto.csv,0.41,0.0,0.5,0.59,0.63,0.41,0.4,0.5,0.34,0.41,0.92,0.59,0.43,0.42,0.47,0.42,0.53,0.45,0.55,0.49
