,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,1.0,74.0,6.0,0.0,3.0,132.0,25.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,6.0,1.0,0.0,1.0,24.0,1.0
bibletime.csv,2.0,5.0,9.0,2.0,2.0,1.0,3.0,2.0,0.0,23.0,1.0,1.0,5.0,3.0,0.0,0.0,3.0,7.0,22.0,3.0
critterding.csv,0.0,5.0,0.0,0.0,0.0,5.0,23.0,2.0,0.0,20.0,0.0,0.0,21.0,15.0,6.0,0.0,0.0,1.0,16.0,3.0
etics.csv,2.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,3.0,5.0,0.0,0.0,1.0,11.0,1.0
fmri-dmt.csv,0.0,2.0,0.0,0.0,0.0,14.0,25.0,1.0,0.0,3.0,0.0,0.0,24.0,1.0,2.0,0.0,0.0,1.0,30.0,3.0
genecys.csv,0.0,2.0,0.0,0.0,0.0,9.0,25.0,1.0,0.0,3.0,0.0,0.0,24.0,1.0,6.0,0.0,2.0,0.0,16.0,3.0
genoviz.csv,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
kftpgrabber.csv,0.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,1.0
kvs.csv,2.0,0.0,2.0,3.0,0.0,6.0,0.0,1.0,0.0,17.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,17.0,0.0
mcore3d.csv,0.0,0.0,0.0,1.0,0.0,9.0,15.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,3.0,0.0,19.0,0.0
miranda.csv,0.0,74.0,3.0,0.0,1.0,132.0,25.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,5.0,22.0,1.0
modplug.csv,0.0,2.0,0.0,0.0,0.0,12.0,10.0,1.0,0.0,2.0,0.0,0.0,21.0,7.0,4.0,0.0,0.0,1.0,27.0,4.0
monetdb.csv,1.0,1.0,1.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,0.0,0.0,1.0,4.0,1.0
netatalk.csv,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,1.0,0.0,0.0,8.0,19.0,0.0,6.0,0.0,3.0,2.0,30.0,0.0
ogrehg.csv,0.0,0.0,6.0,0.0,0.0,8.0,6.0,0.0,0.0,4.0,0.0,0.0,11.0,1.0,4.0,1.0,0.0,1.0,11.0,3.0
passwordsafe.csv,1.0,2.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,6.0,0.0,0.0,11.0,2.0,19.0,1.0,0.0,1.0,8.0,3.0
projecteqemu.csv,0.0,2.0,9.0,2.0,3.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,1.0,17.0,3.0
reactos-mirror.csv,0.0,5.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,3.0,0.0,0.0,11.0,1.0,10.0,0.0,10.0,1.0,23.0,3.0
xbplayer.csv,0.0,0.0,1.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,4.0,4.0,9.0,9.0,1.0,1.0,4.0,3.0,4.0
xmoto.csv,9.0,74.0,6.0,0.0,2.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,8.0,1.0,12.0,0.0,3.0,1.0,13.0,0.0
