,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,0.25,0.0,0.22,0.27,0.17,0.97,0.63
clamav.csv,0.29,0.37,0.17,0.59,0.95,0.59,0.75
k3b.csv,0.06,0.15,0.41,1.0,0.56,0.57,0.79
kindb.csv,0.3,0.25,0.3,0.67,0.31,0.6,0.99
pclasses.csv,1.0,0.0,0.0,0.03,0.31,0.17,0.0
re2c.csv,0.16,1.0,0.44,0.67,0.4,0.48,0.33
thrust.csv,0.0,0.24,0.94,0.48,0.41,0.52,0.79
