,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,0.05,1.0,0.74,0.94,0.69,1.02,0.6,0.7,0.64,0.51,0.79,0.88,0.62,0.95,0.82,0.95
calcubetimer.csv,1.0,1.0,1.0,1.0,0.8,0.98,0.63,0.99,1.0,0.0,1.0,0.65,1.0,0.99,0.8,0.95
chaosrts.csv,0.91,1.0,1.0,1.0,0.77,0.77,0.43,0.98,1.0,0.66,0.68,0.63,0.96,0.97,0.67,0.05
dxengine.csv,0.87,0.9,0.9,0.08,0.73,0.57,1.0,0.82,0.88,0.84,0.94,0.74,0.68,0.42,0.78,0.86
freedom-erp.csv,1.0,1.0,1.0,1.0,0.87,1.0,1.0,1.01,1.0,0.89,0.02,1.0,1.0,1.0,1.0,0.91
joustsim.csv,0.67,0.56,0.3,0.59,0.87,0.88,0.5,0.59,0.86,0.89,0.74,0.0,0.57,0.8,0.82,0.86
jsidplay2.csv,0.75,0.82,1.09,0.81,0.0,0.78,0.63,0.93,0.5,0.33,0.76,0.59,0.93,0.66,0.84,0.84
madman.csv,0.99,1.0,0.97,0.96,0.93,0.91,1.0,0.98,0.99,0.88,0.99,1.0,0.0,1.0,0.9,0.96
mclient-mume.csv,0.67,0.92,0.0,0.67,0.82,0.74,0.64,0.9,0.69,0.95,0.57,0.82,0.44,0.83,0.75,0.91
primefaces.csv,0.81,0.85,0.96,0.96,0.86,1.0,0.48,0.99,0.98,1.06,0.62,0.87,0.97,0.99,0.0,0.6
reaper3d.csv,0.67,1.0,1.0,1.0,0.86,0.65,0.89,0.6,1.0,1.14,0.99,1.04,1.0,0.0,0.69,0.8
sblim.csv,0.9,0.94,0.95,0.93,0.88,0.0,1.07,0.83,0.89,0.89,0.83,1.0,1.01,0.88,1.0,0.83
sevenupdate.csv,1.0,0.0,0.96,0.96,0.9,0.76,0.95,0.9,1.0,0.81,1.0,0.95,1.0,0.99,0.42,1.0
springside.csv,0.75,0.8,0.7,0.65,0.51,0.58,0.04,0.79,0.88,0.64,0.55,0.42,0.8,0.65,0.86,0.72
swtfox.csv,0.75,0.56,0.81,0.62,0.91,0.67,0.84,0.05,0.84,0.85,0.85,1.0,0.65,0.96,0.73,0.9
tmva.csv,0.93,0.83,0.68,0.78,0.49,0.73,0.47,0.84,0.04,0.54,0.81,0.76,0.67,0.61,0.69,0.79
