,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.98,0.67,0.56,0.66,0.49,0.87,0.65,0.05,0.89,0.65,0.54,0.63,0.68
bscwweasel.csv,0.99,1.0,0.91,0.2,0.91,1.0,0.76,1.0,0.91,0.94,1.0,1.0,0.94
capcode.csv,1.0,0.8,0.96,0.83,1.0,0.94,0.08,0.84,0.87,0.94,0.93,0.88,0.97
emite.csv,0.73,0.62,0.55,0.73,0.52,0.66,0.54,0.56,0.72,0.97,0.62,0.1,0.57
extprosys.csv,0.84,0.88,0.93,0.99,0.87,0.04,0.94,0.95,0.94,0.7,0.85,0.9,0.92
lamp.csv,1.0,0.0,0.91,0.85,0.91,0.96,0.83,0.73,0.98,1.01,0.78,1.0,0.86
retromenu.csv,0.87,1.0,0.71,0.8,0.05,0.98,0.77,0.66,0.89,0.88,0.78,1.0,0.83
smbopensoft.csv,0.05,0.57,0.48,0.57,0.45,0.92,0.76,0.95,0.7,0.57,0.56,0.62,0.89
snakeyaml.csv,0.94,0.95,0.72,0.93,0.58,0.85,0.59,0.8,0.76,0.89,0.04,0.75,0.81
stuproa-cims.csv,0.73,0.83,0.83,0.56,0.89,0.91,0.85,1.0,0.15,0.73,0.87,0.86,0.94
ta3d.csv,0.94,0.7,0.94,0.6,0.75,0.81,0.63,0.9,0.74,0.7,0.93,0.74,0.07
thout.csv,0.99,0.74,0.09,0.86,0.61,0.86,0.68,0.65,0.7,0.91,0.61,0.81,0.85
vrjuggler.csv,0.8,0.91,0.69,0.9,0.87,0.86,0.83,1.0,0.84,0.0,0.75,0.81,1.01
