,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.4,0.12,0.37,0.17,0.48,0.37,0.2,1.0,0.23,0.27,0.35,0.67,0.76
bscwweasel.csv,1.0,0.0,0.57,1.0,0.5,0.0,0.25,0.0,1.0,1.0,0.0,0.0,1.0
capcode.csv,0.0,0.14,0.2,0.12,0.0,0.38,1.0,0.3,0.2,0.2,0.5,0.4,0.38
emite.csv,0.48,0.12,0.32,0.17,0.44,0.34,0.23,0.41,0.43,0.21,0.18,1.0,0.76
extprosys.csv,0.51,0.11,0.23,0.12,0.34,0.98,0.15,0.32,0.27,0.22,0.13,0.46,0.64
lamp.csv,0.0,1.0,0.57,0.5,0.33,0.29,0.4,0.35,0.25,0.0,0.67,0.0,0.83
retromenu.csv,0.65,0.0,0.62,0.4,1.0,0.5,0.19,0.62,0.75,1.0,0.5,0.0,1.0
smbopensoft.csv,0.98,0.14,0.41,0.21,0.48,0.2,0.13,0.5,0.39,0.29,0.22,0.59,0.53
snakeyaml.csv,0.75,0.05,0.23,0.06,0.42,0.4,0.21,0.27,0.29,0.12,1.0,0.45,0.63
stuproa-cims.csv,0.51,0.11,0.24,0.18,0.33,0.28,0.11,0.32,1.0,0.26,0.12,0.38,0.7
ta3d.csv,0.48,0.1,0.17,0.16,0.32,0.26,0.17,0.4,0.25,0.22,0.1,0.46,0.97
thout.csv,1.0,0.09,1.0,0.08,0.39,0.24,0.17,0.35,0.32,0.12,0.33,0.36,0.6
vrjuggler.csv,0.77,0.05,0.24,0.13,0.22,0.2,0.12,0.0,0.27,1.0,0.12,0.46,0.25
