,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.0,0.67,0.52,0.83,0.0
k3b.csv,0.43,0.37,0.52,0.49,0.44
myfaces.csv,0.5,0.39,0.32,0.98,0.41
robocode.csv,0.55,0.41,0.43,0.49,0.42
zildo.csv,0.57,0.45,0.7,0.64,0.43
