,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.67,0.86,0.5,0.71,0.0,0.86,0.5,0.86,0.99,0.0,0.91,0.0,0.5,0.5,0.9,0.83,0.86
codeblocks.csv,0.88,0.47,0.44,0.53,0.6,0.54,0.44,0.35,0.54,0.53,0.48,0.75,0.97,0.44,0.92,0.43,0.88
ctrlr.csv,0.8,0.0,0.92,0.82,0.5,0.92,0.95,0.93,0.5,0.95,0.75,0.5,0.88,0.88,0.93,0.92,0.83
free-evolution.csv,0.77,0.28,0.63,0.75,0.88,0.8,0.83,0.67,0.98,0.88,0.89,0.88,0.85,0.95,0.97,0.77,0.83
fulguro.csv,0.5,0.97,0.86,0.0,0.92,0.94,0.8,0.0,0.86,0.0,0.88,0.0,0.83,0.5,0.92,0.89,0.9
gisgraphy.csv,0.86,0.75,0.69,0.57,0.9,0.95,0.86,0.55,0.79,0.7,0.7,0.68,0.94,0.86,0.8,0.6,0.73
ipfire-wall.csv,0.59,0.99,0.93,0.89,0.8,0.61,0.78,0.56,0.81,0.61,0.71,0.92,0.75,0.85,0.76,0.54,0.7
jruby.csv,0.64,0.44,0.38,0.58,0.68,0.38,0.5,0.38,0.85,0.4,0.58,0.9,0.49,0.48,0.96,0.59,0.81
l2j.csv,0.37,0.27,0.42,0.52,0.38,0.48,0.6,0.39,0.41,0.46,0.48,0.5,0.45,0.44,0.45,0.49,0.39
ldview.csv,0.78,0.27,0.95,0.67,0.57,0.83,0.59,0.79,0.53,0.65,0.86,0.72,0.96,0.75,0.95,0.92,0.38
libmesh.csv,0.93,0.5,0.97,0.93,0.83,0.92,0.92,0.89,1.0,0.85,0.97,0.73,0.9,0.96,0.99,0.62,0.93
red5.csv,0.39,0.31,0.7,0.71,0.44,0.92,0.67,0.62,0.46,0.87,0.71,0.55,0.66,0.49,0.6,0.44,0.42
t-2.csv,0.58,0.43,0.57,0.57,0.43,0.55,0.5,0.62,0.99,0.61,0.61,0.62,0.52,0.68,0.57,0.46,0.44
tencompetence.csv,0.64,0.54,0.62,0.67,0.78,0.44,0.84,0.67,0.73,0.59,0.86,0.94,0.53,0.68,0.62,0.7,0.5
vdsf.csv,0.39,0.99,0.42,0.47,0.33,0.44,0.45,0.36,0.64,0.5,0.47,0.41,0.4,0.51,0.46,0.42,0.32
xbrlapi.csv,0.52,0.42,0.86,0.73,0.61,0.77,0.79,0.91,0.68,0.85,0.97,0.74,0.73,0.79,0.74,0.83,0.89
xcf.csv,0.39,0.26,0.5,0.53,0.36,0.54,0.55,0.45,0.52,0.58,0.57,0.5,0.58,0.4,0.45,0.44,0.29
