,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.05,0.03,0.02,0.24,0.02,1.0,0.0,0.22,0.08,0.04,0.09,0.0,0.01,0.02,0.02,0.0,0.14
codeblocks.csv,0.1,0.46,1.0,0.86,0.35,0.57,0.48,1.0,0.43,0.88,0.82,0.19,0.13,0.36,0.04,1.0,0.09
ctrlr.csv,0.07,0.0,0.1,0.24,0.05,0.1,0.9,0.22,0.01,0.38,0.06,0.03,0.03,0.06,0.07,0.36,0.14
free-evolution.csv,0.31,0.99,0.58,0.38,0.14,0.52,0.05,0.28,0.1,0.08,0.85,0.34,0.39,0.17,0.13,0.36,0.14
fulguro.csv,0.05,0.13,0.05,0.0,0.19,0.24,0.05,0.06,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.82,0.14
gisgraphy.csv,0.31,0.02,0.45,0.86,0.16,0.24,0.1,0.44,0.28,0.58,0.55,0.47,0.17,0.05,0.32,0.73,1.0
ipfire-wall.csv,0.33,0.21,0.12,0.1,0.26,0.33,0.38,1.0,0.17,0.54,0.27,0.16,0.24,0.19,0.48,0.45,0.18
jruby.csv,0.31,0.46,0.63,0.29,0.26,0.48,0.24,0.72,0.16,0.35,0.48,0.12,0.51,1.0,0.09,0.36,0.09
l2j.csv,0.6,0.97,0.78,0.48,0.6,0.62,0.1,0.78,0.63,0.35,0.64,0.44,0.99,0.39,0.38,0.64,0.5
ldview.csv,0.29,0.95,0.14,0.95,0.42,0.19,0.1,0.33,0.76,0.5,0.18,0.31,0.1,0.28,0.17,0.18,0.59
libmesh.csv,0.14,0.35,0.22,0.33,0.05,0.14,0.19,0.17,0.35,0.96,0.18,0.38,0.31,0.2,0.19,0.27,0.23
red5.csv,0.5,0.93,0.34,0.48,1.0,0.24,0.52,0.39,0.73,0.23,0.45,0.44,0.26,0.43,0.27,0.64,0.5
t-2.csv,0.62,0.53,0.66,0.76,0.7,0.71,0.86,0.5,0.96,0.92,0.64,0.47,0.72,0.63,0.81,0.91,0.64
tencompetence.csv,0.45,0.32,0.27,0.0,0.33,0.52,0.1,0.67,0.19,0.19,0.21,0.16,0.66,0.62,0.99,0.36,0.27
vdsf.csv,0.95,0.85,0.97,1.0,0.93,1.0,1.0,0.94,0.61,0.96,0.91,0.91,0.95,0.89,0.99,1.0,0.95
xbrlapi.csv,1.0,0.55,0.28,0.38,0.49,0.24,0.43,0.17,0.4,0.42,0.21,0.34,0.34,0.35,0.49,0.0,0.32
xcf.csv,0.71,1.0,0.67,0.81,0.63,0.76,0.62,0.61,0.46,0.58,0.7,1.0,0.32,0.56,0.42,0.45,0.73
