,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.46,0.17,0.66,0.28,0.05,0.5,0.59,0.49,0.56,0.13
flexpay.csv,0.52,0.54,0.26,0.16,0.04,0.2,0.23,0.47,0.27,0.53
jstock.csv,0.29,0.29,0.35,0.14,0.02,0.09,0.25,0.16,0.15,0.13
keyczar.csv,0.05,0.46,0.01,0.28,0.73,0.33,0.34,0.6,0.12,0.27
modellus.csv,0.51,0.12,0.45,0.12,0.05,0.2,0.34,0.09,0.28,0.27
open-data-kit.csv,0.53,0.58,0.77,0.79,0.15,0.69,0.25,0.28,0.7,0.07
phet.csv,0.24,0.83,0.31,0.65,0.82,0.62,0.89,0.84,0.66,1.0
qtractor.csv,0.56,0.25,0.5,0.33,0.29,0.43,0.25,0.19,0.37,0.0
sumatrapdf.csv,0.94,0.58,0.97,0.77,0.18,0.84,0.73,0.79,0.87,0.33
synergyspace.csv,0.48,0.33,0.56,0.14,0.38,0.15,0.41,0.63,0.27,0.47
